Orthogroup	HF920637.1	OP009387.1
OG0000000	HF920637.1_00129, HF920637.1_00164	OP009387.1_00030
OG0000001	HF920637.1_00059	OP009387.1_00008
OG0000002	HF920637.1_00143	OP009387.1_00007
OG0000003	HF920637.1_00159	OP009387.1_00015
OG0000004	HF920637.1_00025	OP009387.1_00112
OG0000005	HF920637.1_00221	OP009387.1_00095
OG0000006	HF920637.1_00121	OP009387.1_00077
OG0000007	HF920637.1_00172	OP009387.1_00091
OG0000008	HF920637.1_00176, HF920637.1_00175	OP009387.1_00029
OG0000009	HF920637.1_00153	OP009387.1_00113
OG0000011	HF920637.1_00217	OP009387.1_00064
OG0000012	HF920637.1_00001	OP009387.1_00023
OG0000013	HF920637.1_00017	OP009387.1_00057
OG0000014	HF920637.1_00108	OP009387.1_00121
OG0000015	HF920637.1_00152	OP009387.1_00122
OG0000016	HF920637.1_00079	OP009387.1_00088
OG0000017	HF920637.1_00073	OP009387.1_00033
OG0000018	HF920637.1_00111	OP009387.1_00107
OG0000019	HF920637.1_00197	OP009387.1_00087
OG0000020	HF920637.1_00031	OP009387.1_00031
OG0000021	HF920637.1_00041	OP009387.1_00005
OG0000022	HF920637.1_00213	OP009387.1_00035
OG0000023	HF920637.1_00033	OP009387.1_00044
OG0000024	HF920637.1_00061	OP009387.1_00026
OG0000025	HF920637.1_00156	OP009387.1_00065
OG0000031	HF920637.1_00127	OP009387.1_00006
