Orthogroup	HF920637.1	AF371960.1
OG0000000	HF920637.1_00129, HF920637.1_00164	AF371960.1_00031
OG0000001	HF920637.1_00059	AF371960.1_00008
OG0000002	HF920637.1_00143	AF371960.1_00007
OG0000003	HF920637.1_00159	AF371960.1_00015
OG0000004	HF920637.1_00025	AF371960.1_00112
OG0000005	HF920637.1_00221	AF371960.1_00096
OG0000006	HF920637.1_00121	AF371960.1_00078
OG0000007	HF920637.1_00172	AF371960.1_00092
OG0000008	HF920637.1_00176, HF920637.1_00175	AF371960.1_00030
OG0000009	HF920637.1_00153	AF371960.1_00113
OG0000011	HF920637.1_00217	AF371960.1_00064
OG0000012	HF920637.1_00001	AF371960.1_00021
OG0000013	HF920637.1_00017	AF371960.1_00057
OG0000014	HF920637.1_00108	AF371960.1_00121
OG0000015	HF920637.1_00152	AF371960.1_00122
OG0000016	HF920637.1_00079	AF371960.1_00089
OG0000017	HF920637.1_00073	AF371960.1_00034
OG0000018	HF920637.1_00111	AF371960.1_00107
OG0000019	HF920637.1_00197	AF371960.1_00088
OG0000020	HF920637.1_00031	AF371960.1_00032
OG0000021	HF920637.1_00041	AF371960.1_00005
OG0000022	HF920637.1_00213	AF371960.1_00036
OG0000023	HF920637.1_00033	AF371960.1_00045
OG0000024	HF920637.1_00061	AF371960.1_00027
OG0000025	HF920637.1_00156	AF371960.1_00065
OG0000031	HF920637.1_00127	AF371960.1_00006
