Orthogroup	HF920637.1	MT926123.1
OG0000000	HF920637.1_00129, HF920637.1_00164	MT926123.1_00032
OG0000001	HF920637.1_00059	MT926123.1_00008
OG0000002	HF920637.1_00143	MT926123.1_00007
OG0000003	HF920637.1_00159	MT926123.1_00015
OG0000004	HF920637.1_00025	MT926123.1_00112
OG0000005	HF920637.1_00221	MT926123.1_00096
OG0000006	HF920637.1_00121	MT926123.1_00079
OG0000007	HF920637.1_00172	MT926123.1_00093
OG0000008	HF920637.1_00176, HF920637.1_00175	MT926123.1_00031
OG0000009	HF920637.1_00153	MT926123.1_00113
OG0000011	HF920637.1_00217	MT926123.1_00065
OG0000012	HF920637.1_00001	MT926123.1_00022
OG0000013	HF920637.1_00017	MT926123.1_00058
OG0000014	HF920637.1_00108	MT926123.1_00120
OG0000015	HF920637.1_00152	MT926123.1_00121
OG0000016	HF920637.1_00079	MT926123.1_00090
OG0000017	HF920637.1_00073	MT926123.1_00035
OG0000018	HF920637.1_00111	MT926123.1_00107
OG0000019	HF920637.1_00197	MT926123.1_00089
OG0000020	HF920637.1_00031	MT926123.1_00033
OG0000021	HF920637.1_00041	MT926123.1_00005
OG0000022	HF920637.1_00213	MT926123.1_00037
OG0000023	HF920637.1_00033	MT926123.1_00046
OG0000024	HF920637.1_00061	MT926123.1_00028
OG0000025	HF920637.1_00156	MT926123.1_00066
OG0000031	HF920637.1_00127	MT926123.1_00006
