Orthogroup	HF920637.1	MT798582.1
OG0000000	HF920637.1_00129, HF920637.1_00164	MT798582.1_00076
OG0000001	HF920637.1_00059	MT798582.1_00018
OG0000002	HF920637.1_00143	MT798582.1_00019
OG0000003	HF920637.1_00159	MT798582.1_00012
OG0000004	HF920637.1_00025	MT798582.1_00037
OG0000005	HF920637.1_00221	MT798582.1_00111
OG0000006	HF920637.1_00121	MT798582.1_00088
OG0000007	HF920637.1_00172	MT798582.1_00116
OG0000008	HF920637.1_00176, HF920637.1_00175	MT798582.1_00077
OG0000009	HF920637.1_00153	MT798582.1_00036
OG0000011	HF920637.1_00217	MT798582.1_00100
OG0000012	HF920637.1_00001	MT798582.1_00004
OG0000013	HF920637.1_00017	MT798582.1_00049
OG0000014	HF920637.1_00108	MT798582.1_00028
OG0000015	HF920637.1_00152	MT798582.1_00027
OG0000016	HF920637.1_00079	MT798582.1_00119
OG0000017	HF920637.1_00073	MT798582.1_00073
OG0000018	HF920637.1_00111	MT798582.1_00042
OG0000019	HF920637.1_00197	MT798582.1_00120
OG0000020	HF920637.1_00031	MT798582.1_00075
OG0000021	HF920637.1_00041	MT798582.1_00021
OG0000022	HF920637.1_00213	MT798582.1_00071
OG0000023	HF920637.1_00033	MT798582.1_00062
OG0000024	HF920637.1_00061	MT798582.1_00080
OG0000025	HF920637.1_00156	MT798582.1_00099
OG0000031	HF920637.1_00127	MT798582.1_00020
