Orthogroup	MT798582.1	AY521625.1
OG0000000	MT798582.1_00076	AY521625.1_00091
OG0000001	MT798582.1_00018	AY521625.1_00077
OG0000002	MT798582.1_00019	AY521625.1_00064
OG0000003	MT798582.1_00012	AY521625.1_00130
OG0000004	MT798582.1_00037	AY521625.1_00069, AY521625.1_00070
OG0000005	MT798582.1_00111	AY521625.1_00100
OG0000006	MT798582.1_00088	AY521625.1_00051
OG0000007	MT798582.1_00116	AY521625.1_00016
OG0000008	MT798582.1_00077	AY521625.1_00085
OG0000009	MT798582.1_00036	AY521625.1_00142
OG0000011	MT798582.1_00100	AY521625.1_00053
OG0000012	MT798582.1_00004	AY521625.1_00110
OG0000013	MT798582.1_00049	AY521625.1_00048
OG0000014	MT798582.1_00028	AY521625.1_00115
OG0000015	MT798582.1_00027	AY521625.1_00035
OG0000016	MT798582.1_00119	AY521625.1_00073
OG0000017	MT798582.1_00073	AY521625.1_00059
OG0000018	MT798582.1_00042	AY521625.1_00047
OG0000019	MT798582.1_00120	AY521625.1_00086
OG0000020	MT798582.1_00075	AY521625.1_00074
OG0000021	MT798582.1_00021	AY521625.1_00054
OG0000022	MT798582.1_00071	AY521625.1_00065
OG0000023	MT798582.1_00062	AY521625.1_00062
OG0000024	MT798582.1_00080	AY521625.1_00042
OG0000026	MT798582.1_00039	AY521625.1_00060
OG0000027	MT798582.1_00118	AY521625.1_00022
OG0000030	MT798582.1_00025	AY521625.1_00004
