Orthogroup	MT798582.1	OL774653.1
OG0000000	MT798582.1_00076	OL774653.1_00051
OG0000001	MT798582.1_00018	OL774653.1_00026
OG0000002	MT798582.1_00019	OL774653.1_00025
OG0000003	MT798582.1_00012	OL774653.1_00032
OG0000004	MT798582.1_00037	OL774653.1_00006
OG0000005	MT798582.1_00111	OL774653.1_00114
OG0000006	MT798582.1_00088	OL774653.1_00094
OG0000007	MT798582.1_00116	OL774653.1_00108
OG0000008	MT798582.1_00077	OL774653.1_00050
OG0000009	MT798582.1_00036	OL774653.1_00008
OG0000010	MT798582.1_00087	OL774653.1_00095
OG0000011	MT798582.1_00100	OL774653.1_00082
OG0000012	MT798582.1_00004	OL774653.1_00039
OG0000013	MT798582.1_00049	OL774653.1_00076
OG0000014	MT798582.1_00028	OL774653.1_00016
OG0000015	MT798582.1_00027	OL774653.1_00017
OG0000016	MT798582.1_00119	OL774653.1_00105
OG0000017	MT798582.1_00073	OL774653.1_00054
OG0000018	MT798582.1_00042	OL774653.1_00001
OG0000019	MT798582.1_00120	OL774653.1_00104
OG0000020	MT798582.1_00075	OL774653.1_00052
OG0000021	MT798582.1_00021	OL774653.1_00023
OG0000022	MT798582.1_00071	OL774653.1_00056
OG0000023	MT798582.1_00062	OL774653.1_00065
OG0000024	MT798582.1_00080	OL774653.1_00047
OG0000025	MT798582.1_00099	OL774653.1_00083
OG0000026	MT798582.1_00039	OL774653.1_00004
OG0000027	MT798582.1_00118	OL774653.1_00106
OG0000028	MT798582.1_00059	OL774653.1_00068
OG0000029	MT798582.1_00045, MT798582.1_00102	OL774653.1_00080
OG0000030	MT798582.1_00025	OL774653.1_00019
OG0000031	MT798582.1_00020	OL774653.1_00024
OG0000032	MT798582.1_00084	OL774653.1_00099
OG0000033	MT798582.1_00117	OL774653.1_00107
OG0000034	MT798582.1_00026	OL774653.1_00018
OG0000035	MT798582.1_00014	OL774653.1_00030
OG0000036	MT798582.1_00013	OL774653.1_00031
OG0000037	MT798582.1_00008	OL774653.1_00036
OG0000038	MT798582.1_00007	OL774653.1_00037
OG0000039	MT798582.1_00003	OL774653.1_00040
OG0000040	MT798582.1_00002	OL774653.1_00041
OG0000041	MT798582.1_00074	OL774653.1_00053
OG0000042	MT798582.1_00070	OL774653.1_00057
OG0000043	MT798582.1_00057	OL774653.1_00069
OG0000044	MT798582.1_00056	OL774653.1_00070
OG0000045	MT798582.1_00051	OL774653.1_00074
OG0000046	MT798582.1_00050	OL774653.1_00075
OG0000047	MT798582.1_00048	OL774653.1_00077
OG0000048	MT798582.1_00047	OL774653.1_00078
OG0000049	MT798582.1_00046	OL774653.1_00079
OG0000050	MT798582.1_00086	OL774653.1_00096
OG0000051	MT798582.1_00124	OL774653.1_00100
OG0000052	MT798582.1_00123	OL774653.1_00101
OG0000053	MT798582.1_00112	OL774653.1_00113
OG0000054	MT798582.1_00110	OL774653.1_00115
