Orthogroup	MT798582.1	KC244182.1
OG0000000	MT798582.1_00076	KC244182.1_00029
OG0000001	MT798582.1_00018	KC244182.1_00008
OG0000002	MT798582.1_00019	KC244182.1_00007
OG0000003	MT798582.1_00012	KC244182.1_00014
OG0000004	MT798582.1_00037	KC244182.1_00112
OG0000005	MT798582.1_00111	KC244182.1_00095
OG0000006	MT798582.1_00088	KC244182.1_00076
OG0000007	MT798582.1_00116	KC244182.1_00090
OG0000008	MT798582.1_00077	KC244182.1_00028
OG0000009	MT798582.1_00036	KC244182.1_00114
OG0000010	MT798582.1_00087	KC244182.1_00077
OG0000011	MT798582.1_00100	KC244182.1_00063
OG0000012	MT798582.1_00004	KC244182.1_00022
OG0000013	MT798582.1_00049	KC244182.1_00056
OG0000014	MT798582.1_00028	KC244182.1_00121
OG0000015	MT798582.1_00027	KC244182.1_00122
OG0000016	MT798582.1_00119	KC244182.1_00087
OG0000017	MT798582.1_00073	KC244182.1_00032
OG0000018	MT798582.1_00042	KC244182.1_00107
OG0000019	MT798582.1_00120	KC244182.1_00086
OG0000020	MT798582.1_00075	KC244182.1_00030
OG0000021	MT798582.1_00021	KC244182.1_00005
OG0000022	MT798582.1_00071	KC244182.1_00034
OG0000023	MT798582.1_00062	KC244182.1_00043
OG0000024	MT798582.1_00080	KC244182.1_00025
OG0000025	MT798582.1_00099	KC244182.1_00064
OG0000026	MT798582.1_00039	KC244182.1_00110
OG0000027	MT798582.1_00118	KC244182.1_00088
OG0000028	MT798582.1_00059	KC244182.1_00046
OG0000029	MT798582.1_00045, MT798582.1_00102	KC244182.1_00061
OG0000030	MT798582.1_00025	KC244182.1_00001
OG0000031	MT798582.1_00020	KC244182.1_00006
OG0000032	MT798582.1_00125	KC244182.1_00081
OG0000033	MT798582.1_00117	KC244182.1_00089
OG0000034	MT798582.1_00026	KC244182.1_00123
OG0000035	MT798582.1_00014	KC244182.1_00012
OG0000036	MT798582.1_00013	KC244182.1_00013
OG0000037	MT798582.1_00008	KC244182.1_00018
OG0000038	MT798582.1_00007	KC244182.1_00019
OG0000039	MT798582.1_00003	KC244182.1_00023
OG0000040	MT798582.1_00002	KC244182.1_00024
OG0000041	MT798582.1_00074	KC244182.1_00031
OG0000042	MT798582.1_00070	KC244182.1_00035
OG0000043	MT798582.1_00057	KC244182.1_00048
OG0000044	MT798582.1_00056	KC244182.1_00049
OG0000045	MT798582.1_00051	KC244182.1_00054
OG0000046	MT798582.1_00050	KC244182.1_00055
OG0000047	MT798582.1_00048	KC244182.1_00057
OG0000048	MT798582.1_00047	KC244182.1_00058
OG0000049	MT798582.1_00046	KC244182.1_00060
OG0000050	MT798582.1_00086	KC244182.1_00078
OG0000051	MT798582.1_00124	KC244182.1_00082
OG0000052	MT798582.1_00123	KC244182.1_00083
OG0000053	MT798582.1_00112	KC244182.1_00094
OG0000054	MT798582.1_00110	KC244182.1_00096
OG0000055	MT798582.1_00107	KC244182.1_00099
OG0000056	MT798582.1_00038	KC244182.1_00111
OG0000057	MT798582.1_00034	KC244182.1_00116
OG0000058	MT798582.1_00032	KC244182.1_00118
OG0000059	MT798582.1_00024	KC244182.1_00002
OG0000060	MT798582.1_00016	KC244182.1_00010
OG0000061	MT798582.1_00009	KC244182.1_00017
OG0000062	MT798582.1_00115	KC244182.1_00091
OG0000063	MT798582.1_00091	KC244182.1_00072
OG0000064	MT798582.1_00010	KC244182.1_00016
OG0000065	MT798582.1_00068	KC244182.1_00037
OG0000066	MT798582.1_00064	KC244182.1_00041
OG0000067	MT798582.1_00060	KC244182.1_00045
OG0000068	MT798582.1_00096	KC244182.1_00066
OG0000069	MT798582.1_00108	KC244182.1_00098
OG0000070	MT798582.1_00106	KC244182.1_00100
OG0000071	MT798582.1_00035	KC244182.1_00115
OG0000072	MT798582.1_00017	KC244182.1_00009
OG0000073	MT798582.1_00015	KC244182.1_00011
OG0000074	MT798582.1_00011	KC244182.1_00015
OG0000075	MT798582.1_00072	KC244182.1_00033
OG0000076	MT798582.1_00069	KC244182.1_00036
OG0000077	MT798582.1_00066	KC244182.1_00039
OG0000078	MT798582.1_00065	KC244182.1_00040
OG0000079	MT798582.1_00061	KC244182.1_00044
OG0000080	MT798582.1_00055	KC244182.1_00050
OG0000081	MT798582.1_00054	KC244182.1_00051
OG0000082	MT798582.1_00053	KC244182.1_00052
OG0000083	MT798582.1_00101	KC244182.1_00062
OG0000084	MT798582.1_00098	KC244182.1_00065
OG0000085	MT798582.1_00095	KC244182.1_00067
OG0000086	MT798582.1_00094	KC244182.1_00068
OG0000087	MT798582.1_00090	KC244182.1_00073
OG0000088	MT798582.1_00089	KC244182.1_00074
OG0000089	MT798582.1_00122	KC244182.1_00084
OG0000090	MT798582.1_00121	KC244182.1_00085
OG0000091	MT798582.1_00109	KC244182.1_00097
OG0000092	MT798582.1_00105	KC244182.1_00101
OG0000093	MT798582.1_00044	KC244182.1_00105
OG0000094	MT798582.1_00041	KC244182.1_00108
OG0000095	MT798582.1_00040	KC244182.1_00109
OG0000097	MT798582.1_00023	KC244182.1_00003
OG0000098	MT798582.1_00022	KC244182.1_00004
OG0000099	MT798582.1_00067	KC244182.1_00038
OG0000100	MT798582.1_00063	KC244182.1_00042
OG0000101	MT798582.1_00093	KC244182.1_00070
OG0000102	MT798582.1_00085	KC244182.1_00079
OG0000103	MT798582.1_00104	KC244182.1_00102
OG0000104	MT798582.1_00043	KC244182.1_00106
OG0000105	MT798582.1_00033	KC244182.1_00117
OG0000106	MT798582.1_00078	KC244182.1_00027
OG0000107	MT798582.1_00103	KC244182.1_00103
OG0000108	MT798582.1_00029	KC244182.1_00120
OG0000109	MT798582.1_00092	KC244182.1_00071
OG0000110	MT798582.1_00031	KC244182.1_00119
OG0000111	MT798582.1_00113	KC244182.1_00093
OG0000114	MT798582.1_00005	KC244182.1_00021
OG0000116	MT798582.1_00052	KC244182.1_00053
OG0000130	MT798582.1_00058	KC244182.1_00047
OG0000143	MT798582.1_00006	KC244182.1_00020
