Orthogroup	HF920637	KX643370
OG0000000	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	HF920637.1_00159 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000002	HF920637.1_00059 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000003	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	HF920637.1_00217 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000006	HF920637.1_00001 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000007	HF920637.1_00017 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000008	HF920637.1_00108 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000009	HF920637.1_00152 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000010	HF920637.1_00073 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000011	HF920637.1_00111 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000012	HF920637.1_00143 HF920637.1 - Major capsid protein translation	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000013	HF920637.1_00197 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000014	HF920637.1_00172 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000015	HF920637.1_00031 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000016	HF920637.1_00041 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000017	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000018	HF920637.1_00079 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000019	HF920637.1_00025 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000020	HF920637.1_00221 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000021	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000022	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000023	HF920637.1_00121 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000114	HF920637.1_00018 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00108 hypothetical protein, Lymph_LDV3_KX643370_00132 hypothetical protein, Lymph_LDV3_KX643370_00076 hypothetical protein
OG0000114	HF920637.1_00138 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00133 hypothetical protein, Lymph_LDV3_KX643370_00079 hypothetical protein, Lymph_LDV3_KX643370_00125 hypothetical protein, Lymph_LDV3_KX643370_00048 hypothetical protein
OG0000130	HF920637.1_00219 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00121 hypothetical protein
OG0000133	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit
OG0000134	HF920637.1_00181 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00145 hypothetical protein
OG0000135	HF920637.1_00123 HF920637.1 - Thymidylate synthase translation	Lymph_LDV3_KX643370_00042 Thymidylate synthase
OG0000139	HF920637.1_00014 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00043 hypothetical protein
OG0000146	HF920637.1_00168 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00140 hypothetical protein
OG0000153	HF920637.1_00072 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00090 hypothetical protein
OG0000198	HF920637.1_00024 HF920637.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00020 hypothetical protein
