Orthogroup	HF920637	AF303741
OG0000000	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1	AF303741.1_00079 DNA_polymerase_1
OG0000000	HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2	AF303741.1_00152 DNA_polymerase_2
OG0000001	HF920637.1_00159 HF920637.1 - hypothetical protein translation	AF303741.1_00035 hypothetical protein
OG0000002	HF920637.1_00059 HF920637.1 - hypothetical protein translation	AF303741.1_00047 hypothetical protein
OG0000003	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation	AF303741.1_00165 hypothetical protein
OG0000004	HF920637.1_00153 HF920637.1 - hypothetical protein translation	AF303741.1_00176 hypothetical protein
OG0000005	HF920637.1_00217 HF920637.1 - hypothetical protein translation	AF303741.1_00006 hypothetical protein
OG0000006	HF920637.1_00001 HF920637.1 - hypothetical protein translation	AF303741.1_00011 hypothetical protein
OG0000007	HF920637.1_00017 HF920637.1 - hypothetical protein translation	AF303741.1_00023 hypothetical protein
OG0000008	HF920637.1_00108 HF920637.1 - hypothetical protein translation	AF303741.1_00026 hypothetical protein
OG0000009	HF920637.1_00152 HF920637.1 - hypothetical protein translation	AF303741.1_00046 hypothetical protein
OG0000010	HF920637.1_00073 HF920637.1 - hypothetical protein translation	AF303741.1_00063 hypothetical protein
OG0000011	HF920637.1_00111 HF920637.1 - hypothetical protein translation	AF303741.1_00081 hypothetical protein
OG0000012	HF920637.1_00143 HF920637.1 - Major capsid protein translation	AF303741.1_00125 Major capsid protein
OG0000013	HF920637.1_00197 HF920637.1 - hypothetical protein translation	AF303741.1_00137 hypothetical protein
OG0000014	HF920637.1_00172 HF920637.1 - hypothetical protein translation	AF303741.1_00149 hypothetical protein
OG0000015	HF920637.1_00031 HF920637.1 - hypothetical protein translation	AF303741.1_00156 hypothetical protein
OG0000016	HF920637.1_00041 HF920637.1 - hypothetical protein translation	AF303741.1_00158 hypothetical protein
OG0000017	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000018	HF920637.1_00079 HF920637.1 - hypothetical protein translation	AF303741.1_00062 hypothetical protein
OG0000019	HF920637.1_00025 HF920637.1 - hypothetical protein translation	AF303741.1_00080 hypothetical protein
OG0000020	HF920637.1_00221 HF920637.1 - hypothetical protein translation	AF303741.1_00129 hypothetical protein
OG0000021	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain
