Orthogroup	HF920637	NC_005946
OG0000000	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2	NC_005946.1_00010 hypothetical protein
OG0000001	HF920637.1_00159 HF920637.1 - hypothetical protein translation	NC_005946.1_00057 hypothetical protein
OG0000002	HF920637.1_00059 HF920637.1 - hypothetical protein translation	NC_005946.1_00053 hypothetical protein
OG0000003	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation	NC_005946.1_00095 hypothetical protein
OG0000004	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation	NC_005946.1_00092 hypothetical protein
OG0000005	HF920637.1_00217 HF920637.1 - hypothetical protein translation	NC_005946.1_00011 hypothetical protein
OG0000006	HF920637.1_00001 HF920637.1 - hypothetical protein translation	NC_005946.1_00060 hypothetical protein
OG0000007	HF920637.1_00017 HF920637.1 - hypothetical protein translation	NC_005946.1_00022 hypothetical protein
OG0000008	HF920637.1_00108 HF920637.1 - hypothetical protein translation	NC_005946.1_00016 hypothetical protein
OG0000009	HF920637.1_00152 HF920637.1 - hypothetical protein translation	NC_005946.1_00021 hypothetical protein
OG0000010	HF920637.1_00073 HF920637.1 - hypothetical protein translation	NC_005946.1_00087 hypothetical protein
OG0000011	HF920637.1_00111 HF920637.1 - hypothetical protein translation	NC_005946.1_00023 hypothetical protein
OG0000012	HF920637.1_00143 HF920637.1 - Major capsid protein translation	NC_005946.1_00091 Major capsid protein
OG0000013	HF920637.1_00197 HF920637.1 - hypothetical protein translation	NC_005946.1_00094 hypothetical protein
OG0000014	HF920637.1_00172 HF920637.1 - hypothetical protein translation	NC_005946.1_00002 hypothetical protein
OG0000015	HF920637.1_00031 HF920637.1 - hypothetical protein translation	NC_005946.1_00083 hypothetical protein
OG0000016	HF920637.1_00041 HF920637.1 - hypothetical protein translation	NC_005946.1_00038 hypothetical protein
OG0000017	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000018	HF920637.1_00079 HF920637.1 - hypothetical protein translation	NC_005946.1_00082 hypothetical protein
OG0000019	HF920637.1_00025 HF920637.1 - hypothetical protein translation	NC_005946.1_00028 hypothetical protein
OG0000020	HF920637.1_00221 HF920637.1 - hypothetical protein translation	NC_005946.1_00014 hypothetical protein
OG0000021	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation	NC_005946.1_00067 hypothetical protein
OG0000022	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation	NC_005946.1_00089 hypothetical protein
OG0000023	HF920637.1_00121 HF920637.1 - hypothetical protein translation	NC_005946.1_00042 hypothetical protein
OG0000114	HF920637.1_00138 HF920637.1 - hypothetical protein translation	NC_005946.1_00020 hypothetical protein
OG0000130	HF920637.1_00219 HF920637.1 - hypothetical protein translation	NC_005946.1_00001 hypothetical protein
OG0000133	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit
OG0000138	HF920637.1_00060 HF920637.1 - putative helicase D10 translation	NC_005946.1_00054 hypothetical protein
OG0000147	HF920637.1_00150 HF920637.1 - hypothetical protein translation	NC_005946.1_00063 Deoxyuridine
OG0000153	HF920637.1_00072 HF920637.1 - hypothetical protein translation	NC_005946.1_00075 hypothetical protein
