Orthogroup	HF920633	AY521625
OG0000000	HF920633.1_00044 hypothetical protein	AY521625.1_00091 AY521625.1 - hypothetical protein translation
OG0000001	HF920633.1_00069 hypothetical protein	AY521625.1_00077 AY521625.1 - hypothetical protein translation
OG0000002	HF920633.1_00127 hypothetical protein	AY521625.1_00130 AY521625.1 - hypothetical protein translation
OG0000003	HF920633.1_00043 hypothetical protein	AY521625.1_00085 AY521625.1 - hypothetical protein translation
OG0000004	HF920633.1_00122 hypothetical protein	AY521625.1_00142 AY521625.1 - hypothetical protein translation
OG0000005	HF920633.1_00097 hypothetical protein	AY521625.1_00054 AY521625.1 - hypothetical protein translation
OG0000006	HF920633.1_00073 Major capsid protein	AY521625.1_00064 AY521625.1 - Major capsid protein translation
OG0000007	HF920633.1_00001 hypothetical protein	AY521625.1_00110 AY521625.1 - hypothetical protein translation
OG0000008	HF920633.1_00080 hypothetical protein	AY521625.1_00074 AY521625.1 - hypothetical protein translation
OG0000009	HF920633.1_00175 DNA-directed RNA polymerase subunit 2	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	HF920633.1_00067 hypothetical protein	AY521625.1_00048 AY521625.1 - hypothetical protein translation
OG0000011	HF920633.1_00118 hypothetical protein	AY521625.1_00053 AY521625.1 - hypothetical protein translation
OG0000012	HF920633.1_00163 hypothetical protein	AY521625.1_00086 AY521625.1 - hypothetical protein translation
OG0000013	HF920633.1_00091 hypothetical protein	AY521625.1_00016 AY521625.1 - hypothetical protein translation
OG0000014	HF920633.1_00003 hypothetical protein	AY521625.1_00047 AY521625.1 - hypothetical protein translation
OG0000015	HF920633.1_00138 hypothetical protein	AY521625.1_00115 AY521625.1 - hypothetical protein translation
OG0000016	HF920633.1_00058 hypothetical protein	AY521625.1_00035 AY521625.1 - hypothetical protein translation
OG0000017	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	AY521625.1_00042 AY521625.1 - hypothetical protein translation
OG0000018	HF920633.1_00158 hypothetical protein	AY521625.1_00059 AY521625.1 - hypothetical protein translation
OG0000019	HF920633.1_00025 hypothetical protein	AY521625.1_00051 AY521625.1 - hypothetical protein translation
OG0000020	HF920633.1_00094 hypothetical protein	AY521625.1_00073 AY521625.1 - hypothetical protein translation
OG0000021	HF920633.1_00085 hypothetical protein	AY521625.1_00100 AY521625.1 - hypothetical protein translation
OG0000022	HF920633.1_00079 hypothetical protein	AY521625.1_00069 AY521625.1 - hypothetical protein translation
OG0000024	HF920633.1_00017 hypothetical protein	AY521625.1_00062 AY521625.1 - hypothetical protein translation
OG0000125	HF920633.1_00086 hypothetical protein	AY521625.1_00036 AY521625.1 - hypothetical protein translation
OG0000132	HF920633.1_00135 hypothetical protein	AY521625.1_00098 AY521625.1 - hypothetical protein translation
OG0000135	HF920633.1_00132 hypothetical protein	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000142	HF920633.1_00026 hypothetical protein	AY521625.1_00133 AY521625.1 - hypothetical protein translation
OG0000148	HF920633.1_00106 hypothetical protein	AY521625.1_00044 AY521625.1 - Deoxyuridine
OG0000151	HF920633.1_00024 hypothetical protein	AY521625.1_00018 AY521625.1 - hypothetical protein translation
OG0000167	HF920633.1_00144 hypothetical protein	AY521625.1_00014 AY521625.1 - hypothetical protein translation
OG0000173	HF920633.1_00171 hypothetical protein	AY521625.1_00005 AY521625.1 - hypothetical protein translation
OG0000175	HF920633.1_00034 hypothetical protein	AY521625.1_00140 AY521625.1 - hypothetical protein translation
