Orthogroup	HF920633	PQ335173_PQ335174
OG0000000	HF920633.1_00044 hypothetical protein	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation
OG0000001	HF920633.1_00069 hypothetical protein	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation
OG0000002	HF920633.1_00127 hypothetical protein	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation
OG0000003	HF920633.1_00043 hypothetical protein	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation
OG0000004	HF920633.1_00122 hypothetical protein	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation
OG0000005	HF920633.1_00097 hypothetical protein	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation
OG0000006	HF920633.1_00073 Major capsid protein	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation
OG0000007	HF920633.1_00001 hypothetical protein	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation
OG0000008	HF920633.1_00080 hypothetical protein	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation
OG0000009	HF920633.1_00175 DNA-directed RNA polymerase subunit 2	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	HF920633.1_00067 hypothetical protein	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation
OG0000011	HF920633.1_00118 hypothetical protein	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation
OG0000012	HF920633.1_00163 hypothetical protein	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation
OG0000013	HF920633.1_00091 hypothetical protein	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation
OG0000014	HF920633.1_00003 hypothetical protein	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation
OG0000015	HF920633.1_00138 hypothetical protein	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation
OG0000016	HF920633.1_00058 hypothetical protein	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation
OG0000017	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	HF920633.1_00158 hypothetical protein	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation
OG0000019	HF920633.1_00025 hypothetical protein	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation
OG0000020	HF920633.1_00094 hypothetical protein	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation
OG0000021	HF920633.1_00085 hypothetical protein	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation
OG0000022	HF920633.1_00079 hypothetical protein	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation
OG0000024	HF920633.1_00017 hypothetical protein	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation
OG0000025	HF920633.1_00047 hypothetical protein	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation
