Orthogroup	MCV_MP1_RSIV_OK042108.1	Chlor_IIV22_HF920633.1
OG0000000	MCV_MP1_RSIV_OK042108.1_00047	Chlor_IIV22_HF920633.1_00044
OG0000001	MCV_MP1_RSIV_OK042108.1_00069	Chlor_IIV22_HF920633.1_00073
OG0000002	MCV_MP1_RSIV_OK042108.1_00068	Chlor_IIV22_HF920633.1_00069
OG0000003	MCV_MP1_RSIV_OK042108.1_00062	Chlor_IIV22_HF920633.1_00127
OG0000004	MCV_MP1_RSIV_OK042108.1_00087	Chlor_IIV22_HF920633.1_00079
OG0000005	MCV_MP1_RSIV_OK042108.1_00109	Chlor_IIV22_HF920633.1_00091
OG0000006	MCV_MP1_RSIV_OK042108.1_00048	Chlor_IIV22_HF920633.1_00043
OG0000007	MCV_MP1_RSIV_OK042108.1_00001	Chlor_IIV22_HF920633.1_00025
OG0000008	MCV_MP1_RSIV_OK042108.1_00085	Chlor_IIV22_HF920633.1_00122
OG0000009	MCV_MP1_RSIV_OK042108.1_00104	Chlor_IIV22_HF920633.1_00085
OG0000011	MCV_MP1_RSIV_OK042108.1_00113	Chlor_IIV22_HF920633.1_00163
OG0000012	MCV_MP1_RSIV_OK042108.1_00042	Chlor_IIV22_HF920633.1_00175
OG0000013	MCV_MP1_RSIV_OK042108.1_00092	Chlor_IIV22_HF920633.1_00003
OG0000014	MCV_MP1_RSIV_OK042108.1_00112	Chlor_IIV22_HF920633.1_00094
OG0000015	MCV_MP1_RSIV_OK042108.1_00046	Chlor_IIV22_HF920633.1_00080
OG0000016	MCV_MP1_RSIV_OK042108.1_00055	Chlor_IIV22_HF920633.1_00001
OG0000017	MCV_MP1_RSIV_OK042108.1_00020	Chlor_IIV22_HF920633.1_00067
OG0000018	MCV_MP1_RSIV_OK042108.1_00077	Chlor_IIV22_HF920633.1_00138
OG0000019	MCV_MP1_RSIV_OK042108.1_00013	Chlor_IIV22_HF920633.1_00118
OG0000020	MCV_MP1_RSIV_OK042108.1_00076	Chlor_IIV22_HF920633.1_00058
OG0000021	MCV_MP1_RSIV_OK042108.1_00044	Chlor_IIV22_HF920633.1_00158
OG0000022	MCV_MP1_RSIV_OK042108.1_00070	Chlor_IIV22_HF920633.1_00097
OG0000023	MCV_MP1_RSIV_OK042108.1_00033	Chlor_IIV22_HF920633.1_00017
OG0000024	MCV_MP1_RSIV_OK042108.1_00050	Chlor_IIV22_HF920633.1_00062
OG0000025	MCV_MP1_RSIV_OK042108.1_00012	Chlor_IIV22_HF920633.1_00047
