Orthogroup	HF920633	MN562489
OG0000000	HF920633.1_00044 hypothetical protein	OM037668.1_00035 hypothetical protein
OG0000001	HF920633.1_00069 hypothetical protein	OM037668.1_00056 hypothetical protein
OG0000002	HF920633.1_00127 hypothetical protein	SDDV_ORF050 RING E3 ubiquitin ligase, OM037668.1_00050 hypothetical protein
OG0000003	HF920633.1_00043 hypothetical protein	SDDV_ORF038 Flap endonuclease
OG0000004	HF920633.1_00097 hypothetical protein	OM037668.1_00013 hypothetical protein
OG0000005	HF920633.1_00073 Major capsid protein	OM037668.1_00057 Major capsid protein
OG0000006	HF920633.1_00001 hypothetical protein	OM037668.1_00041 hypothetical protein
OG0000007	HF920633.1_00080 hypothetical protein	OM037668.1_00123 hypothetical protein
OG0000008	HF920633.1_00158 hypothetical protein	OM037668.1_00124 hypothetical protein
OG0000009	HF920633.1_00175 DNA-directed RNA polymerase subunit 2	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000010	HF920633.1_00067 hypothetical protein	OM037668.1_00098 hypothetical protein
OG0000011	HF920633.1_00118 hypothetical protein	OM037668.1_00009 hypothetical protein
OG0000012	HF920633.1_00163 hypothetical protein	OM037668.1_00090 hypothetical protein
OG0000013	HF920633.1_00091 hypothetical protein	OM037668.1_00084 hypothetical protein
OG0000014	HF920633.1_00003 hypothetical protein	OM037668.1_00073 hypothetical protein
OG0000015	HF920633.1_00138 hypothetical protein	OM037668.1_00078 hypothetical protein
OG0000016	HF920633.1_00058 hypothetical protein	OM037668.1_00004 hypothetical protein
OG0000017	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain
OG0000018	HF920633.1_00025 hypothetical protein	OM037668.1_00021 hypothetical protein
OG0000019	HF920633.1_00094 hypothetical protein	OM037668.1_00089 hypothetical protein
OG0000020	HF920633.1_00085 hypothetical protein	OM037668.1_00080 hypothetical protein
OG0000021	HF920633.1_00079 hypothetical protein	OM037668.1_00076 hypothetical protein
OG0000022	HF920633.1_00017 hypothetical protein	OM037668.1_00113 hypothetical protein
OG0000023	HF920633.1_00122 hypothetical protein	OM037668.1_00077 hypothetical protein
OG0000024	HF920633.1_00047 hypothetical protein	OM037668.1_00024 hypothetical protein
OG0000136	HF920633.1_00156 Thymidylate synthase	OM037668.1_00068 Thymidylate synthase
