Orthogroup	HF920633	LS484712
OG0000000	HF920633.1_00044 hypothetical protein	LS484712.1_00114 hypothetical protein
OG0000001	HF920633.1_00069 hypothetical protein	LS484712.1_00095 hypothetical protein
OG0000002	HF920633.1_00127 hypothetical protein	LS484712.1_00187 hypothetical protein
OG0000003	HF920633.1_00043 hypothetical protein	LS484712.1_00248 hypothetical protein
OG0000004	HF920633.1_00097 hypothetical protein	LS484712.1_00096 hypothetical protein
OG0000005	HF920633.1_00073 Major capsid protein	LS484712.1_00142 Major capsid protein
OG0000006	HF920633.1_00001 hypothetical protein	LS484712.1_00200 hypothetical protein
OG0000007	HF920633.1_00080 hypothetical protein	LS484712.1_00188 hypothetical protein
OG0000008	HF920633.1_00158 hypothetical protein	LS484712.1_00240 hypothetical protein
OG0000009	HF920633.1_00175 DNA-directed RNA polymerase subunit 2	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000010	HF920633.1_00067 hypothetical protein	LS484712.1_00143 hypothetical protein
OG0000011	HF920633.1_00118 hypothetical protein	LS484712.1_00203 hypothetical protein
OG0000012	HF920633.1_00163 hypothetical protein	LS484712.1_00192 hypothetical protein
OG0000013	HF920633.1_00091 hypothetical protein	LS484712.1_00050 hypothetical protein
OG0000014	HF920633.1_00003 hypothetical protein	LS484712.1_00053 hypothetical protein
OG0000015	HF920633.1_00138 hypothetical protein	LS484712.1_00202 hypothetical protein
OG0000016	HF920633.1_00058 hypothetical protein	LS484712.1_00135 hypothetical protein
OG0000017	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000018	HF920633.1_00025 hypothetical protein	LS484712.1_00040 hypothetical protein
OG0000022	HF920633.1_00017 hypothetical protein	LS484712.1_00117 hypothetical protein
OG0000023	HF920633.1_00122 hypothetical protein	LS484712.1_00130 hypothetical protein
OG0000127	HF920633.1_00147 hypothetical protein, HF920633.1_00130 hypothetical protein, HF920633.1_00174 hypothetical protein, HF920633.1_00007 hypothetical protein	LS484712.1_00198 hypothetical protein
OG0000132	HF920633.1_00135 hypothetical protein	LS484712.1_00057 hypothetical protein
OG0000134	HF920633.1_00132 hypothetical protein	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit
OG0000135	HF920633.1_00053 hypothetical protein	LS484712.1_00063 hypothetical protein
OG0000140	HF920633.1_00026 hypothetical protein	LS484712.1_00133 hypothetical protein
OG0000141	HF920633.1_00064 hypothetical protein	LS484712.1_00197 hypothetical protein
OG0000147	HF920633.1_00088 hypothetical protein	LS484712.1_00211 hypothetical protein
OG0000159	HF920633.1_00134 hypothetical protein	LS484712.1_00116 hypothetical protein
OG0000160	HF920633.1_00039 hypothetical protein	LS484712.1_00113 hypothetical protein
OG0000161	HF920633.1_00105 hypothetical protein	LS484712.1_00140 hypothetical protein
OG0000162	HF920633.1_00082 hypothetical protein	LS484712.1_00195 hypothetical protein
OG0000163	HF920633.1_00169 DNA ligase	LS484712.1_00212 hypothetical protein
OG0000164	HF920633.1_00177 hypothetical protein	LS484712.1_00112 hypothetical protein
OG0000167	HF920633.1_00046 hypothetical protein	LS484712.1_00184 hypothetical protein
OG0000185	HF920633.1_00131 hypothetical protein	LS484712.1_00196 hypothetical protein
OG0000187	HF920633.1_00146 hypothetical protein	LS484712.1_00224 hypothetical protein
OG0000190	HF920633.1_00050 hypothetical protein	LS484712.1_00060 hypothetical protein
OG0000193	HF920633.1_00035 hypothetical protein	LS484712.1_00163 hypothetical protein
OG0000194	HF920633.1_00029 hypothetical protein	LS484712.1_00120 hypothetical protein
OG0000195	HF920633.1_00121 hypothetical protein	LS484712.1_00106 hypothetical protein
OG0000202	HF920633.1_00101 hypothetical protein	LS484712.1_00052 hypothetical protein
OG0000209	HF920633.1_00018 hypothetical protein	LS484712.1_00233 hypothetical protein
OG0000248	HF920633.1_00060 hypothetical protein	LS484712.1_00207 hypothetical protein
OG0000249	HF920633.1_00159 hypothetical protein	LS484712.1_00206 hypothetical protein
OG0000250	HF920633.1_00164 hypothetical protein	LS484712.1_00201 hypothetical protein
