Orthogroup	HF920633	NC_005946
OG0000000	HF920633.1_00044 hypothetical protein	NC_005946.1_00010 hypothetical protein
OG0000001	HF920633.1_00069 hypothetical protein	NC_005946.1_00053 hypothetical protein
OG0000002	HF920633.1_00127 hypothetical protein	NC_005946.1_00057 hypothetical protein
OG0000003	HF920633.1_00043 hypothetical protein	NC_005946.1_00095 hypothetical protein
OG0000004	HF920633.1_00097 hypothetical protein	NC_005946.1_00038 hypothetical protein
OG0000005	HF920633.1_00073 Major capsid protein	NC_005946.1_00091 Major capsid protein
OG0000006	HF920633.1_00001 hypothetical protein	NC_005946.1_00060 hypothetical protein
OG0000007	HF920633.1_00080 hypothetical protein	NC_005946.1_00083 hypothetical protein
OG0000008	HF920633.1_00158 hypothetical protein	NC_005946.1_00087 hypothetical protein
OG0000009	HF920633.1_00175 DNA-directed RNA polymerase subunit 2	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000010	HF920633.1_00067 hypothetical protein	NC_005946.1_00022 hypothetical protein
OG0000011	HF920633.1_00118 hypothetical protein	NC_005946.1_00011 hypothetical protein
OG0000012	HF920633.1_00163 hypothetical protein	NC_005946.1_00094 hypothetical protein
OG0000013	HF920633.1_00091 hypothetical protein	NC_005946.1_00002 hypothetical protein
OG0000014	HF920633.1_00003 hypothetical protein	NC_005946.1_00023 hypothetical protein
OG0000015	HF920633.1_00138 hypothetical protein	NC_005946.1_00016 hypothetical protein
OG0000016	HF920633.1_00058 hypothetical protein	NC_005946.1_00021 hypothetical protein
OG0000017	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	NC_005946.1_00067 hypothetical protein
OG0000018	HF920633.1_00025 hypothetical protein	NC_005946.1_00042 hypothetical protein
OG0000019	HF920633.1_00094 hypothetical protein	NC_005946.1_00082 hypothetical protein
OG0000020	HF920633.1_00085 hypothetical protein	NC_005946.1_00014 hypothetical protein
OG0000021	HF920633.1_00079 hypothetical protein	NC_005946.1_00028 hypothetical protein
OG0000022	HF920633.1_00017 hypothetical protein	NC_005946.1_00089 hypothetical protein
OG0000126	HF920633.1_00086 hypothetical protein	NC_005946.1_00020 hypothetical protein
OG0000132	HF920633.1_00135 hypothetical protein	NC_005946.1_00001 hypothetical protein
OG0000134	HF920633.1_00132 hypothetical protein	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit
OG0000140	HF920633.1_00026 hypothetical protein	NC_005946.1_00054 hypothetical protein
OG0000149	HF920633.1_00106 hypothetical protein	NC_005946.1_00063 Deoxyuridine
OG0000152	HF920633.1_00024 hypothetical protein	NC_005946.1_00044 hypothetical protein
OG0000165	HF920633.1_00144 hypothetical protein	NC_005946.1_00004 hypothetical protein
OG0000170	HF920633.1_00171 hypothetical protein	NC_005946.1_00026 hypothetical protein
OG0000172	HF920633.1_00034 hypothetical protein	NC_005946.1_00029 hypothetical protein
