Orthogroup	MG570132	KF938901
OG0000000	MG570132.1_00031 hypothetical protein	KF938901.1_00126 DNA-directed RNA polymerase subunit 1
OG0000001	MG570132.1_00009 hypothetical protein	KF938901.1_00080 hypothetical protein
OG0000002	MG570132.1_00016 hypothetical protein	KF938901.1_00005 hypothetical protein
OG0000003	MG570132.1_00030 hypothetical protein	KF938901.1_00067 hypothetical protein
OG0000004	MG570132.1_00005 hypothetical protein	KF938901.1_00124 hypothetical protein
OG0000005	MG570132.1_00008 Major capsid protein	KF938901.1_00044 Major capsid protein
OG0000006	MG570132.1_00023 hypothetical protein	KF938901.1_00054 hypothetical protein
OG0000007	MG570132.1_00032 hypothetical protein	KF938901.1_00047 hypothetical protein
OG0000008	MG570132.1_00034 hypothetical protein	KF938901.1_00123 hypothetical protein
OG0000009	MG570132.1_00036 DNA-directed RNA polymerase subunit 2	KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2
OG0000010	MG570132.1_00057 hypothetical protein	KF938901.1_00060 hypothetical protein
OG0000011	MG570132.1_00063 hypothetical protein	KF938901.1_00092 hypothetical protein
OG0000012	MG570132.1_00083 hypothetical protein	KF938901.1_00012 hypothetical protein
OG0000013	MG570132.1_00087 hypothetical protein	KF938901.1_00053 hypothetical protein
OG0000014	MG570132.1_00103 hypothetical protein	KF938901.1_00025 hypothetical protein
OG0000015	MG570132.1_00118 hypothetical protein	KF938901.1_00074 hypothetical protein
OG0000016	MG570132.1_00119 hypothetical protein	KF938901.1_00095 hypothetical protein
OG0000017	MG570132.1_00028 Ribonucleoside-diphosphate reductase small chain	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain
OG0000018	MG570132.1_00073 hypothetical protein	KF938901.1_00072 hypothetical protein
OG0000019	MG570132.1_00084 hypothetical protein	KF938901.1_00046 hypothetical protein
OG0000020	MG570132.1_00092 hypothetical protein	KF938901.1_00125 hypothetical protein
OG0000021	MG570132.1_00108 hypothetical protein	KF938901.1_00043 hypothetical protein
OG0000023	MG570132.1_00110 hypothetical protein	KF938901.1_00114 hypothetical protein
OG0000024	MG570132.1_00064 hypothetical protein	KF938901.1_00093 hypothetical protein
