Orthogroup	MG570132	MN803438
OG0000000	MG570132.1_00031 hypothetical protein	MN803438.1_00124 hypothetical protein
OG0000001	MG570132.1_00009 hypothetical protein	MN803438.1_00101 hypothetical protein
OG0000002	MG570132.1_00016 hypothetical protein	MN803438.1_00113 hypothetical protein
OG0000003	MG570132.1_00030 hypothetical protein	MN803438.1_00106 hypothetical protein
OG0000004	MG570132.1_00005 hypothetical protein	MN803438.1_00089 hypothetical protein
OG0000005	MG570132.1_00008 Major capsid protein	MN803438.1_00023 Major capsid protein
OG0000006	MG570132.1_00023 hypothetical protein	MN803438.1_00128 hypothetical protein
OG0000007	MG570132.1_00032 hypothetical protein	MN803438.1_00068 hypothetical protein
OG0000008	MG570132.1_00034 hypothetical protein	MN803438.1_00035 hypothetical protein
OG0000009	MG570132.1_00036 DNA-directed RNA polymerase subunit 2	MN803438.1_00013 hypothetical protein
OG0000010	MG570132.1_00057 hypothetical protein	MN803438.1_00007 hypothetical protein
OG0000011	MG570132.1_00063 hypothetical protein	MN803438.1_00049 hypothetical protein
OG0000012	MG570132.1_00083 hypothetical protein	MN803438.1_00097 hypothetical protein
OG0000013	MG570132.1_00087 hypothetical protein	MN803438.1_00027 hypothetical protein
OG0000014	MG570132.1_00103 hypothetical protein	MN803438.1_00051 hypothetical protein
OG0000015	MG570132.1_00118 hypothetical protein	MN803438.1_00070 hypothetical protein
OG0000016	MG570132.1_00119 hypothetical protein	MN803438.1_00046 hypothetical protein
OG0000017	MG570132.1_00028 Ribonucleoside-diphosphate reductase small chain	MN803438.1_00024 hypothetical protein
OG0000018	MG570132.1_00073 hypothetical protein	MN803438.1_00142 hypothetical protein
OG0000019	MG570132.1_00084 hypothetical protein	MN803438.1_00122 hypothetical protein
OG0000020	MG570132.1_00092 hypothetical protein	MN803438.1_00071 hypothetical protein
OG0000021	MG570132.1_00108 hypothetical protein	MN803438.1_00104 hypothetical protein
OG0000022	MG570132.1_00045 hypothetical protein	MN803438.1_00077 hypothetical protein
OG0000023	MG570132.1_00110 hypothetical protein	MN803438.1_00109 hypothetical protein
OG0000025	MG570132.1_00085 hypothetical protein	MN803438.1_00037 hypothetical protein
OG0000026	MG570132.1_00106 hypothetical protein	MN803438.1_00126 hypothetical protein
OG0000027	MG570132.1_00048 hypothetical protein	MN803438.1_00054 hypothetical protein
OG0000028	MG570132.1_00006 hypothetical protein	MN803438.1_00145 hypothetical protein
