Orthogroup	MG570132	LS484712
OG0000000	MG570132.1_00031 hypothetical protein	LS484712.1_00114 hypothetical protein
OG0000001	MG570132.1_00009 hypothetical protein	LS484712.1_00095 hypothetical protein
OG0000002	MG570132.1_00016 hypothetical protein	LS484712.1_00187 hypothetical protein
OG0000003	MG570132.1_00030 hypothetical protein	LS484712.1_00248 hypothetical protein
OG0000004	MG570132.1_00005 hypothetical protein	LS484712.1_00096 hypothetical protein
OG0000005	MG570132.1_00008 Major capsid protein	LS484712.1_00142 Major capsid protein
OG0000006	MG570132.1_00023 hypothetical protein	LS484712.1_00200 hypothetical protein
OG0000007	MG570132.1_00032 hypothetical protein	LS484712.1_00188 hypothetical protein
OG0000008	MG570132.1_00034 hypothetical protein	LS484712.1_00240 hypothetical protein
OG0000009	MG570132.1_00036 DNA-directed RNA polymerase subunit 2	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000010	MG570132.1_00057 hypothetical protein	LS484712.1_00143 hypothetical protein
OG0000011	MG570132.1_00063 hypothetical protein	LS484712.1_00203 hypothetical protein
OG0000012	MG570132.1_00083 hypothetical protein	LS484712.1_00192 hypothetical protein
OG0000013	MG570132.1_00087 hypothetical protein	LS484712.1_00050 hypothetical protein
OG0000014	MG570132.1_00103 hypothetical protein	LS484712.1_00053 hypothetical protein
OG0000015	MG570132.1_00118 hypothetical protein	LS484712.1_00202 hypothetical protein
OG0000016	MG570132.1_00119 hypothetical protein	LS484712.1_00135 hypothetical protein
OG0000017	MG570132.1_00028 Ribonucleoside-diphosphate reductase small chain	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000018	MG570132.1_00073 hypothetical protein	LS484712.1_00040 hypothetical protein
OG0000022	MG570132.1_00045 hypothetical protein	LS484712.1_00117 hypothetical protein
OG0000023	MG570132.1_00110 hypothetical protein	LS484712.1_00130 hypothetical protein
OG0000064	MG570132.1_00066 hypothetical protein	LS484712.1_00002 hypothetical protein
