Orthogroup	MG570132	HF920633
OG0000000	MG570132.1_00031 hypothetical protein	HF920633.1_00044 hypothetical protein
OG0000001	MG570132.1_00009 hypothetical protein	HF920633.1_00069 hypothetical protein
OG0000002	MG570132.1_00016 hypothetical protein	HF920633.1_00127 hypothetical protein
OG0000003	MG570132.1_00030 hypothetical protein	HF920633.1_00043 hypothetical protein
OG0000004	MG570132.1_00005 hypothetical protein	HF920633.1_00097 hypothetical protein
OG0000005	MG570132.1_00008 Major capsid protein	HF920633.1_00073 Major capsid protein
OG0000006	MG570132.1_00023 hypothetical protein	HF920633.1_00001 hypothetical protein
OG0000007	MG570132.1_00032 hypothetical protein	HF920633.1_00080 hypothetical protein
OG0000008	MG570132.1_00034 hypothetical protein	HF920633.1_00158 hypothetical protein
OG0000009	MG570132.1_00036 DNA-directed RNA polymerase subunit 2	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000010	MG570132.1_00057 hypothetical protein	HF920633.1_00067 hypothetical protein
OG0000011	MG570132.1_00063 hypothetical protein	HF920633.1_00118 hypothetical protein
OG0000012	MG570132.1_00083 hypothetical protein	HF920633.1_00163 hypothetical protein
OG0000013	MG570132.1_00087 hypothetical protein	HF920633.1_00091 hypothetical protein
OG0000014	MG570132.1_00103 hypothetical protein	HF920633.1_00003 hypothetical protein
OG0000015	MG570132.1_00118 hypothetical protein	HF920633.1_00138 hypothetical protein
OG0000016	MG570132.1_00119 hypothetical protein	HF920633.1_00058 hypothetical protein
OG0000017	MG570132.1_00028 Ribonucleoside-diphosphate reductase small chain	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000018	MG570132.1_00073 hypothetical protein	HF920633.1_00025 hypothetical protein
OG0000019	MG570132.1_00084 hypothetical protein	HF920633.1_00094 hypothetical protein
OG0000020	MG570132.1_00092 hypothetical protein	HF920633.1_00085 hypothetical protein
OG0000021	MG570132.1_00108 hypothetical protein	HF920633.1_00079 hypothetical protein
OG0000022	MG570132.1_00045 hypothetical protein	HF920633.1_00017 hypothetical protein
OG0000023	MG570132.1_00110 hypothetical protein	HF920633.1_00122 hypothetical protein
OG0000024	MG570132.1_00064 hypothetical protein	HF920633.1_00047 hypothetical protein
