Orthogroup	MF599468	OQ475017
OG0000000	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000001	MF599468.1_00011 MF599468.1 - hypothetical protein translation	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000002	MF599468.1_00163 MF599468.1 - hypothetical protein translation	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000003	MF599468.1_00030 MF599468.1 - hypothetical protein translation	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000004	MF599468.1_00075 MF599468.1 - hypothetical protein translation	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000005	MF599468.1_00149 MF599468.1 - hypothetical protein translation	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000006	MF599468.1_00112 MF599468.1 - hypothetical protein translation	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000007	MF599468.1_00033 MF599468.1 - hypothetical protein translation	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000008	MF599468.1_00122 MF599468.1 - hypothetical protein translation	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000009	MF599468.1_00009 MF599468.1 - hypothetical protein translation	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000010	MF599468.1_00035 MF599468.1 - hypothetical protein translation	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000011	MF599468.1_00117 MF599468.1 - hypothetical protein translation	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000012	MF599468.1_00152 MF599468.1 - Major capsid protein translation	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000013	MF599468.1_00106 MF599468.1 - hypothetical protein translation	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000014	MF599468.1_00174 MF599468.1 - hypothetical protein translation	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000015	MF599468.1_00090 MF599468.1 - hypothetical protein translation	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000016	MF599468.1_00116 MF599468.1 - hypothetical protein translation	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000017	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000018	MF599468.1_00046 MF599468.1 - hypothetical protein translation	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000019	MF599468.1_00092 MF599468.1 - hypothetical protein translation	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000020	MF599468.1_00154 MF599468.1 - hypothetical protein translation	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000023	MF599468.1_00010 MF599468.1 - hypothetical protein translation	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000066	MF599468.1_00131 MF599468.1 - hypothetical protein translation	OQ475017.1_00096 OQ475017.1 - hypothetical protein translation
