Orthogroup	MF599468	AF303741
OG0000000	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2
OG0000001	MF599468.1_00011 MF599468.1 - hypothetical protein translation	AF303741.1_00035 hypothetical protein
OG0000002	MF599468.1_00163 MF599468.1 - hypothetical protein translation	AF303741.1_00047 hypothetical protein
OG0000003	MF599468.1_00030 MF599468.1 - hypothetical protein translation	AF303741.1_00165 hypothetical protein
OG0000004	MF599468.1_00075 MF599468.1 - hypothetical protein translation	AF303741.1_00176 hypothetical protein
OG0000005	MF599468.1_00149 MF599468.1 - hypothetical protein translation	AF303741.1_00006 hypothetical protein
OG0000006	MF599468.1_00112 MF599468.1 - hypothetical protein translation	AF303741.1_00011 hypothetical protein
OG0000007	MF599468.1_00033 MF599468.1 - hypothetical protein translation	AF303741.1_00023 hypothetical protein
OG0000008	MF599468.1_00122 MF599468.1 - hypothetical protein translation	AF303741.1_00026 hypothetical protein
OG0000009	MF599468.1_00009 MF599468.1 - hypothetical protein translation	AF303741.1_00046 hypothetical protein
OG0000010	MF599468.1_00035 MF599468.1 - hypothetical protein translation	AF303741.1_00063 hypothetical protein
OG0000011	MF599468.1_00117 MF599468.1 - hypothetical protein translation	AF303741.1_00081 hypothetical protein
OG0000012	MF599468.1_00152 MF599468.1 - Major capsid protein translation	AF303741.1_00125 Major capsid protein
OG0000013	MF599468.1_00106 MF599468.1 - hypothetical protein translation	AF303741.1_00137 hypothetical protein
OG0000014	MF599468.1_00174 MF599468.1 - hypothetical protein translation	AF303741.1_00149 hypothetical protein
OG0000015	MF599468.1_00090 MF599468.1 - hypothetical protein translation	AF303741.1_00156 hypothetical protein
OG0000016	MF599468.1_00116 MF599468.1 - hypothetical protein translation	AF303741.1_00158 hypothetical protein
OG0000017	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000018	MF599468.1_00046 MF599468.1 - hypothetical protein translation	AF303741.1_00062 hypothetical protein
OG0000019	MF599468.1_00092 MF599468.1 - hypothetical protein translation	AF303741.1_00080 hypothetical protein
OG0000020	MF599468.1_00154 MF599468.1 - hypothetical protein translation	AF303741.1_00129 hypothetical protein
OG0000023	MF599468.1_00010 MF599468.1 - hypothetical protein translation	AF303741.1_00132 hypothetical protein
OG0000064	MF599468.1_00102 MF599468.1 - hypothetical protein translation, MF599468.1_00100 MF599468.1 - hypothetical protein translation, MF599468.1_00099 MF599468.1 - hypothetical protein translation, MF599468.1_00114 MF599468.1 - hypothetical protein translation	AF303741.1_00065 hypothetical protein, AF303741.1_00005 hypothetical protein, AF303741.1_00173 hypothetical protein, AF303741.1_00095 hypothetical protein, AF303741.1_00066 hypothetical protein, AF303741.1_00007 hypothetical protein, AF303741.1_00094 hypothetical protein, AF303741.1_00109 hypothetical protein
OG0000114	MF599468.1_00036 MF599468.1 - hypothetical protein translation	AF303741.1_00106 hypothetical protein
OG0000114	MF599468.1_00096 MF599468.1 - hypothetical protein translation	AF303741.1_00170 hypothetical protein
OG0000130	MF599468.1_00002 MF599468.1 - hypothetical protein translation	AF303741.1_00126 hypothetical protein
OG0000134	MF599468.1_00051 MF599468.1 - hypothetical protein translation	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein
OG0000138	MF599468.1_00161 MF599468.1 - hypothetical protein translation	AF303741.1_00072 hypothetical protein
OG0000139	MF599468.1_00027 MF599468.1 - hypothetical protein translation	AF303741.1_00157 hypothetical protein
OG0000146	MF599468.1_00074 MF599468.1 - hypothetical protein translation	AF303741.1_00183 hypothetical protein
OG0000147	MF599468.1_00142 MF599468.1 - Deoxyuridine	AF303741.1_00192 hypothetical protein
OG0000156	MF599468.1_00141 MF599468.1 - hypothetical protein translation	AF303741.1_00056 hypothetical protein
OG0000158	MF599468.1_00004 MF599468.1 - hypothetical protein translation	AF303741.1_00076 hypothetical protein
OG0000159	MF599468.1_00162 MF599468.1 - hypothetical protein translation	AF303741.1_00087 hypothetical protein
OG0000160	MF599468.1_00067 MF599468.1 - DNA ligase translation	AF303741.1_00091 DNA ligase
OG0000161	MF599468.1_00105 MF599468.1 - hypothetical protein translation	AF303741.1_00096 hypothetical protein
OG0000162	MF599468.1_00081 MF599468.1 - hypothetical protein translation	AF303741.1_00105 hypothetical protein
OG0000163	MF599468.1_00045 MF599468.1 - hypothetical protein translation	AF303741.1_00169 hypothetical protein
OG0000164	MF599468.1_00155 MF599468.1 - hypothetical protein translation	AF303741.1_00179 hypothetical protein
OG0000173	MF599468.1_00129 MF599468.1 - hypothetical protein translation	AF303741.1_00003 hypothetical protein
OG0000174	MF599468.1_00022 MF599468.1 - hypothetical protein translation	AF303741.1_00004 hypothetical protein
OG0000176	MF599468.1_00079 MF599468.1 - hypothetical protein translation	AF303741.1_00015 DNA topoisomerase 2
OG0000177	MF599468.1_00037 MF599468.1 - hypothetical protein translation	AF303741.1_00017 hypothetical protein
OG0000178	MF599468.1_00025 MF599468.1 - hypothetical protein translation	AF303741.1_00085 hypothetical protein
OG0000180	MF599468.1_00052 MF599468.1 - hypothetical protein translation, MF599468.1_00061 MF599468.1 - hypothetical protein translation	AF303741.1_00104 hypothetical protein
OG0000181	MF599468.1_00043 MF599468.1 - hypothetical protein translation	AF303741.1_00112 hypothetical protein
OG0000182	MF599468.1_00098 MF599468.1 - Thymidylate kinase translation	AF303741.1_00117 hypothetical protein
OG0000184	MF599468.1_00015 MF599468.1 - hypothetical protein translation	AF303741.1_00136 hypothetical protein
OG0000186	MF599468.1_00172 MF599468.1 - hypothetical protein translation	AF303741.1_00148 hypothetical protein
OG0000187	MF599468.1_00044 MF599468.1 - hypothetical protein translation	AF303741.1_00150 hypothetical protein
OG0000189	MF599468.1_00065 MF599468.1 - hypothetical protein translation	AF303741.1_00161 hypothetical protein
OG0000190	MF599468.1_00016 MF599468.1 - hypothetical protein translation	AF303741.1_00174 hypothetical protein
OG0000194	MF599468.1_00125 MF599468.1 - hypothetical protein translation	AF303741.1_00197 hypothetical protein
OG0000234	MF599468.1_00072 MF599468.1 - hypothetical protein translation	AF303741.1_00077 hypothetical protein
OG0000238	MF599468.1_00039 MF599468.1 - hypothetical protein translation	AF303741.1_00190 hypothetical protein
OG0000240	MF599468.1_00107 MF599468.1 - hypothetical protein translation	AF303741.1_00202 hypothetical protein
