Orthogroup	MF599468	KX643370
OG0000000	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	MF599468.1_00011 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000002	MF599468.1_00163 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000003	MF599468.1_00030 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	MF599468.1_00075 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	MF599468.1_00149 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000006	MF599468.1_00112 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000007	MF599468.1_00033 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000008	MF599468.1_00122 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000009	MF599468.1_00009 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000010	MF599468.1_00035 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000011	MF599468.1_00117 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000012	MF599468.1_00152 MF599468.1 - Major capsid protein translation	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000013	MF599468.1_00106 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000014	MF599468.1_00174 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000015	MF599468.1_00090 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000016	MF599468.1_00116 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000017	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000018	MF599468.1_00046 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000019	MF599468.1_00092 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000020	MF599468.1_00154 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000023	MF599468.1_00010 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000114	MF599468.1_00036 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00108 hypothetical protein, Lymph_LDV3_KX643370_00132 hypothetical protein, Lymph_LDV3_KX643370_00076 hypothetical protein
OG0000114	MF599468.1_00096 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00133 hypothetical protein, Lymph_LDV3_KX643370_00079 hypothetical protein, Lymph_LDV3_KX643370_00125 hypothetical protein, Lymph_LDV3_KX643370_00048 hypothetical protein
OG0000130	MF599468.1_00002 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00121 hypothetical protein
OG0000134	MF599468.1_00051 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00145 hypothetical protein
OG0000139	MF599468.1_00027 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00043 hypothetical protein
OG0000146	MF599468.1_00074 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00140 hypothetical protein
OG0000150	MF599468.1_00060 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00149 hypothetical protein
OG0000153	MF599468.1_00156 MF599468.1 - hypothetical protein translation, MF599468.1_00066 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00090 hypothetical protein
OG0000168	MF599468.1_00089 MF599468.1 - hypothetical protein translation, MF599468.1_00108 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00059 hypothetical protein
OG0000195	MF599468.1_00006 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00021 hypothetical protein
OG0000219	MF599468.1_00062 MF599468.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00005 hypothetical protein
