Orthogroup	MG570131	KX643370
OG0000000	MG570131.1_00031 hypothetical protein	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	MG570131.1_00009 hypothetical protein	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000002	MG570131.1_00016 hypothetical protein	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000003	MG570131.1_00030 hypothetical protein	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	NLI interacting factor-like phosphatase_refgen NLI interacting factor-like phosphatase	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000005	MG570131.1_00008 Major capsid protein	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000006	MG570131.1_00023 hypothetical protein	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000007	MG570131.1_00032 hypothetical protein	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000008	MG570131.1_00034 hypothetical protein	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000009	MG570131.1_00036 DNA-directed RNA polymerase subunit 2	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000010	MG570131.1_00057 hypothetical protein	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000011	MG570131.1_00063 hypothetical protein	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000012	MG570131.1_00083 hypothetical protein	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000013	MG570131.1_00087 hypothetical protein	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000014	MG570131.1_00103 hypothetical protein	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000015	MG570131.1_00118 hypothetical protein	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000016	MG570131.1_00119 hypothetical protein	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000017	MG570131.1_00027 Ribonucleoside-diphosphate reductase small chain	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000018	MG570131.1_00073 hypothetical protein	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000019	MG570131.1_00084 hypothetical protein	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000020	MG570131.1_00092 hypothetical protein	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000021	MG570131.1_00108 hypothetical protein	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000022	MG570131.1_00045 hypothetical protein	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000023	MG570131.1_00110 hypothetical protein	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000025	MG570131.1_00085 hypothetical protein	Lymph_LDV3_KX643370_00015 hypothetical protein
OG0000026	MG570131.1_00106 hypothetical protein	Lymph_LDV3_KX643370_00119 hypothetical protein
OG0000027	MG570131.1_00048 hypothetical protein	Lymph_LDV3_KX643370_00096 hypothetical protein
OG0000028	MG570131.1_00006 hypothetical protein	Lymph_LDV3_KX643370_00001 hypothetical protein
