Orthogroup	AF371960.1	MT798582.1
OG0000000	AF371960.1_00031	MT798582.1_00076
OG0000001	AF371960.1_00007	MT798582.1_00019
OG0000002	AF371960.1_00079	MT798582.1_00087
OG0000003	AF371960.1_00008	MT798582.1_00018
OG0000004	AF371960.1_00015	MT798582.1_00012
OG0000005	AF371960.1_00030	MT798582.1_00077
OG0000006	AF371960.1_00078	MT798582.1_00088
OG0000007	AF371960.1_00092	MT798582.1_00116
OG0000008	AF371960.1_00112	MT798582.1_00037
OG0000009	AF371960.1_00113	MT798582.1_00036
OG0000010	AF371960.1_00005	MT798582.1_00021
OG0000011	AF371960.1_00021	MT798582.1_00004
OG0000012	AF371960.1_00032	MT798582.1_00075
OG0000013	AF371960.1_00034	MT798582.1_00073
OG0000014	AF371960.1_00036	MT798582.1_00071
OG0000015	AF371960.1_00057	MT798582.1_00049
OG0000016	AF371960.1_00064	MT798582.1_00100
OG0000017	AF371960.1_00088	MT798582.1_00120
OG0000018	AF371960.1_00089	MT798582.1_00119
OG0000019	AF371960.1_00107	MT798582.1_00042
OG0000020	AF371960.1_00121	MT798582.1_00028
OG0000021	AF371960.1_00122	MT798582.1_00027
OG0000022	AF371960.1_00045	MT798582.1_00062
OG0000023	AF371960.1_00096	MT798582.1_00111
OG0000024	AF371960.1_00110	MT798582.1_00039
OG0000025	AF371960.1_00065	MT798582.1_00099
OG0000026	AF371960.1_00090	MT798582.1_00118
OG0000027	AF371960.1_00048	MT798582.1_00059
OG0000028	AF371960.1_00006	MT798582.1_00020
OG0000029	AF371960.1_00062	MT798582.1_00102
OG0000030	AF371960.1_00001	MT798582.1_00025
OG0000031	AF371960.1_00082	MT798582.1_00084, MT798582.1_00125
OG0000032	AF371960.1_00091	MT798582.1_00117
OG0000033	AF371960.1_00123	MT798582.1_00026
OG0000034	AF371960.1_00013	MT798582.1_00014
OG0000035	AF371960.1_00014	MT798582.1_00013
OG0000036	AF371960.1_00019	MT798582.1_00008
OG0000037	AF371960.1_00020	MT798582.1_00007
OG0000038	AF371960.1_00022	MT798582.1_00003
OG0000039	AF371960.1_00023	MT798582.1_00002
OG0000040	AF371960.1_00033	MT798582.1_00074
OG0000041	AF371960.1_00037	MT798582.1_00070
OG0000042	AF371960.1_00049	MT798582.1_00057
OG0000043	AF371960.1_00050	MT798582.1_00056
OG0000044	AF371960.1_00055	MT798582.1_00051
OG0000045	AF371960.1_00056	MT798582.1_00050
OG0000046	AF371960.1_00058	MT798582.1_00048
OG0000047	AF371960.1_00060	MT798582.1_00047
OG0000048	AF371960.1_00061	MT798582.1_00046
OG0000049	AF371960.1_00080	MT798582.1_00086
OG0000050	AF371960.1_00083	MT798582.1_00124
OG0000051	AF371960.1_00084	MT798582.1_00123
OG0000052	AF371960.1_00095	MT798582.1_00112
OG0000053	AF371960.1_00097	MT798582.1_00110
OG0000054	AF371960.1_00100	MT798582.1_00107
OG0000055	AF371960.1_00111	MT798582.1_00038
OG0000056	AF371960.1_00115	MT798582.1_00034
OG0000057	AF371960.1_00117	MT798582.1_00032
OG0000058	AF371960.1_00002	MT798582.1_00024
OG0000059	AF371960.1_00010	MT798582.1_00016
OG0000060	AF371960.1_00018	MT798582.1_00009
OG0000061	AF371960.1_00093	MT798582.1_00115
OG0000062	AF371960.1_00027	MT798582.1_00080
OG0000063	AF371960.1_00073	MT798582.1_00091
OG0000064	AF371960.1_00017	MT798582.1_00010
OG0000065	AF371960.1_00039	MT798582.1_00068
OG0000066	AF371960.1_00043	MT798582.1_00064
OG0000067	AF371960.1_00047	MT798582.1_00060
OG0000068	AF371960.1_00068	MT798582.1_00096
OG0000069	AF371960.1_00099	MT798582.1_00108
OG0000070	AF371960.1_00101	MT798582.1_00106
OG0000071	AF371960.1_00114	MT798582.1_00035
OG0000072	AF371960.1_00009	MT798582.1_00017
OG0000073	AF371960.1_00012	MT798582.1_00015
OG0000074	AF371960.1_00016	MT798582.1_00011
OG0000075	AF371960.1_00035	MT798582.1_00072
OG0000076	AF371960.1_00038	MT798582.1_00069
OG0000077	AF371960.1_00041	MT798582.1_00066
OG0000078	AF371960.1_00042	MT798582.1_00065
OG0000079	AF371960.1_00046	MT798582.1_00061
OG0000080	AF371960.1_00051	MT798582.1_00055
OG0000081	AF371960.1_00052	MT798582.1_00054
OG0000082	AF371960.1_00053	MT798582.1_00053
OG0000083	AF371960.1_00063	MT798582.1_00101
OG0000084	AF371960.1_00066	MT798582.1_00098
OG0000085	AF371960.1_00069	MT798582.1_00095
OG0000086	AF371960.1_00070	MT798582.1_00094
OG0000087	AF371960.1_00075	MT798582.1_00090
OG0000088	AF371960.1_00076	MT798582.1_00089
OG0000089	AF371960.1_00086	MT798582.1_00122
OG0000090	AF371960.1_00087	MT798582.1_00121
OG0000091	AF371960.1_00098	MT798582.1_00109
OG0000092	AF371960.1_00102	MT798582.1_00105
OG0000093	AF371960.1_00105	MT798582.1_00044
OG0000094	AF371960.1_00108	MT798582.1_00041
OG0000095	AF371960.1_00109	MT798582.1_00040
OG0000096	AF371960.1_00119	MT798582.1_00030
OG0000097	AF371960.1_00003	MT798582.1_00023
OG0000098	AF371960.1_00004	MT798582.1_00022
OG0000099	AF371960.1_00040	MT798582.1_00067
OG0000100	AF371960.1_00044	MT798582.1_00063
OG0000101	AF371960.1_00071	MT798582.1_00093
OG0000102	AF371960.1_00081	MT798582.1_00085
OG0000103	AF371960.1_00103	MT798582.1_00104
OG0000104	AF371960.1_00106	MT798582.1_00043
OG0000105	AF371960.1_00116	MT798582.1_00033
OG0000106	AF371960.1_00029	MT798582.1_00078
OG0000107	AF371960.1_00104	MT798582.1_00103
OG0000108	AF371960.1_00120	MT798582.1_00029
OG0000109	AF371960.1_00072	MT798582.1_00092
OG0000110	AF371960.1_00118	MT798582.1_00031
OG0000115	AF371960.1_00054	MT798582.1_00052
OG0000116	AF371960.1_00067	MT798582.1_00097
OG0000123	AF371960.1_00026	MT798582.1_00083
