Orthogroup	AF371960.1	HF920637.1
OG0000000	AF371960.1_00031	HF920637.1_00129, HF920637.1_00164
OG0000001	AF371960.1_00007	HF920637.1_00143
OG0000003	AF371960.1_00008	HF920637.1_00059
OG0000004	AF371960.1_00015	HF920637.1_00159
OG0000005	AF371960.1_00030	HF920637.1_00176, HF920637.1_00175
OG0000006	AF371960.1_00078	HF920637.1_00121
OG0000007	AF371960.1_00092	HF920637.1_00172
OG0000008	AF371960.1_00112	HF920637.1_00025
OG0000009	AF371960.1_00113	HF920637.1_00153
OG0000010	AF371960.1_00005	HF920637.1_00041
OG0000011	AF371960.1_00021	HF920637.1_00001
OG0000012	AF371960.1_00032	HF920637.1_00031
OG0000013	AF371960.1_00034	HF920637.1_00073
OG0000014	AF371960.1_00036	HF920637.1_00213
OG0000015	AF371960.1_00057	HF920637.1_00017
OG0000016	AF371960.1_00064	HF920637.1_00217
OG0000017	AF371960.1_00088	HF920637.1_00197
OG0000018	AF371960.1_00089	HF920637.1_00079
OG0000019	AF371960.1_00107	HF920637.1_00111
OG0000020	AF371960.1_00121	HF920637.1_00108
OG0000021	AF371960.1_00122	HF920637.1_00152
OG0000022	AF371960.1_00045	HF920637.1_00033
OG0000023	AF371960.1_00096	HF920637.1_00221
OG0000024	AF371960.1_00110	HF920637.1_00203
OG0000025	AF371960.1_00065	HF920637.1_00156
OG0000028	AF371960.1_00006	HF920637.1_00127
