Orthogroup	AF371960.1	AY532606.1
OG0000000	AF371960.1_00031	AY532606.1_00030
OG0000001	AF371960.1_00007	AY532606.1_00006
OG0000002	AF371960.1_00079	AY532606.1_00079
OG0000003	AF371960.1_00008	AY532606.1_00007
OG0000004	AF371960.1_00015	AY532606.1_00014
OG0000005	AF371960.1_00030	AY532606.1_00029
OG0000006	AF371960.1_00078	AY532606.1_00078
OG0000007	AF371960.1_00092	AY532606.1_00093
OG0000008	AF371960.1_00112	AY532606.1_00116, AY532606.1_00117
OG0000009	AF371960.1_00113	AY532606.1_00120, AY532606.1_00119
OG0000010	AF371960.1_00005	AY532606.1_00004
OG0000011	AF371960.1_00021	AY532606.1_00020
OG0000012	AF371960.1_00032	AY532606.1_00031
OG0000013	AF371960.1_00034	AY532606.1_00033
OG0000014	AF371960.1_00036	AY532606.1_00035
OG0000015	AF371960.1_00057	AY532606.1_00057
OG0000016	AF371960.1_00064	AY532606.1_00064
OG0000017	AF371960.1_00088	AY532606.1_00088
OG0000018	AF371960.1_00089	AY532606.1_00089
OG0000019	AF371960.1_00107	AY532606.1_00111
OG0000020	AF371960.1_00121	AY532606.1_00125
OG0000021	AF371960.1_00122	AY532606.1_00126
OG0000023	AF371960.1_00096	AY532606.1_00099
OG0000024	AF371960.1_00110	AY532606.1_00114
OG0000025	AF371960.1_00065	AY532606.1_00066, AY532606.1_00065
OG0000026	AF371960.1_00090	AY532606.1_00090
OG0000027	AF371960.1_00048	AY532606.1_00047
OG0000028	AF371960.1_00006	AY532606.1_00005
OG0000029	AF371960.1_00062	AY532606.1_00062
OG0000030	AF371960.1_00001	AY532606.1_00001
OG0000031	AF371960.1_00082	AY532606.1_00083
OG0000032	AF371960.1_00091	AY532606.1_00091
OG0000033	AF371960.1_00123	AY532606.1_00127
OG0000034	AF371960.1_00013	AY532606.1_00012
OG0000035	AF371960.1_00014	AY532606.1_00013
OG0000036	AF371960.1_00019	AY532606.1_00018
OG0000037	AF371960.1_00020	AY532606.1_00019
OG0000038	AF371960.1_00022	AY532606.1_00021
OG0000039	AF371960.1_00023	AY532606.1_00022
OG0000040	AF371960.1_00033	AY532606.1_00032
OG0000041	AF371960.1_00037	AY532606.1_00036
OG0000042	AF371960.1_00049	AY532606.1_00049
OG0000043	AF371960.1_00050	AY532606.1_00050
OG0000044	AF371960.1_00055	AY532606.1_00055
OG0000045	AF371960.1_00056	AY532606.1_00056
OG0000046	AF371960.1_00058	AY532606.1_00058
