Orthogroup	AF371960.1	KF938901.1
OG0000000	AF371960.1_00031	KF938901.1_00126
OG0000001	AF371960.1_00007	KF938901.1_00044
OG0000003	AF371960.1_00008	KF938901.1_00080
OG0000004	AF371960.1_00015	KF938901.1_00005
OG0000005	AF371960.1_00030	KF938901.1_00067
OG0000006	AF371960.1_00078	KF938901.1_00072
OG0000007	AF371960.1_00092	KF938901.1_00053
OG0000008	AF371960.1_00112	KF938901.1_00043
OG0000009	AF371960.1_00113	KF938901.1_00114
OG0000010	AF371960.1_00005	KF938901.1_00124
OG0000011	AF371960.1_00021	KF938901.1_00054
OG0000012	AF371960.1_00032	KF938901.1_00047
OG0000013	AF371960.1_00034	KF938901.1_00123
OG0000014	AF371960.1_00036	KF938901.1_00023
OG0000015	AF371960.1_00057	KF938901.1_00060
OG0000016	AF371960.1_00064	KF938901.1_00092
OG0000017	AF371960.1_00088	KF938901.1_00012
OG0000018	AF371960.1_00089	KF938901.1_00046
OG0000019	AF371960.1_00107	KF938901.1_00025
OG0000020	AF371960.1_00121	KF938901.1_00074
OG0000021	AF371960.1_00122	KF938901.1_00095
OG0000022	AF371960.1_00045	KF938901.1_00031
OG0000025	AF371960.1_00065	KF938901.1_00093
