Orthogroup	AF371960.1	NC_027778.1
OG0000000	AF371960.1_00031	NC_027778.1_00083
OG0000001	AF371960.1_00007	NC_027778.1_00061
OG0000002	AF371960.1_00079	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120
OG0000003	AF371960.1_00008	NC_027778.1_00062
OG0000004	AF371960.1_00015	NC_027778.1_00068
OG0000005	AF371960.1_00030	NC_027778.1_00080
OG0000006	AF371960.1_00078	NC_027778.1_00098
OG0000007	AF371960.1_00092	NC_027778.1_00032
OG0000008	AF371960.1_00112	NC_027778.1_00040
OG0000009	AF371960.1_00113	NC_027778.1_00039
OG0000010	AF371960.1_00005	NC_027778.1_00106
OG0000011	AF371960.1_00021	NC_027778.1_00077
OG0000012	AF371960.1_00032	NC_027778.1_00133
OG0000013	AF371960.1_00034	NC_027778.1_00132
OG0000014	AF371960.1_00036	NC_027778.1_00129
OG0000015	AF371960.1_00057	NC_027778.1_00018
OG0000016	AF371960.1_00064	NC_027778.1_00111
OG0000017	AF371960.1_00088	NC_027778.1_00026
OG0000018	AF371960.1_00089	NC_027778.1_00027
OG0000019	AF371960.1_00107	NC_027778.1_00043
OG0000020	AF371960.1_00121	NC_027778.1_00038
OG0000021	AF371960.1_00122	NC_027778.1_00116
OG0000022	AF371960.1_00045	NC_027778.1_00003
OG0000023	AF371960.1_00096	NC_027778.1_00036
OG0000024	AF371960.1_00110	NC_027778.1_00042
OG0000025	AF371960.1_00065	NC_027778.1_00094, NC_027778.1_00095
OG0000026	AF371960.1_00090	NC_027778.1_00029
OG0000027	AF371960.1_00048	NC_027778.1_00006
OG0000028	AF371960.1_00006	NC_027778.1_00108
OG0000029	AF371960.1_00062	NC_027778.1_00021
OG0000030	AF371960.1_00001	NC_027778.1_00088
OG0000031	AF371960.1_00082	NC_027778.1_00100
OG0000032	AF371960.1_00091	NC_027778.1_00030
OG0000033	AF371960.1_00123	NC_027778.1_00090
OG0000034	AF371960.1_00013	NC_027778.1_00067
OG0000035	AF371960.1_00014	NC_027778.1_00115
OG0000036	AF371960.1_00019	NC_027778.1_00072
OG0000037	AF371960.1_00020	NC_027778.1_00073
OG0000038	AF371960.1_00022	NC_027778.1_00078
OG0000039	AF371960.1_00023	NC_027778.1_00070
OG0000040	AF371960.1_00033	NC_027778.1_00117
OG0000041	AF371960.1_00037	NC_027778.1_00134
OG0000042	AF371960.1_00049	NC_027778.1_00010
OG0000043	AF371960.1_00050	NC_027778.1_00011
OG0000044	AF371960.1_00055	NC_027778.1_00016
OG0000045	AF371960.1_00056	NC_027778.1_00017
OG0000046	AF371960.1_00058	NC_027778.1_00019
OG0000047	AF371960.1_00060	NC_027778.1_00031
OG0000048	AF371960.1_00061	NC_027778.1_00020
OG0000049	AF371960.1_00080	NC_027778.1_00099
OG0000050	AF371960.1_00083	NC_027778.1_00101
OG0000051	AF371960.1_00084	NC_027778.1_00126
OG0000052	AF371960.1_00095	NC_027778.1_00035
OG0000053	AF371960.1_00097	NC_027778.1_00086
OG0000054	AF371960.1_00100	NC_027778.1_00085
OG0000055	AF371960.1_00111	NC_027778.1_00041
OG0000056	AF371960.1_00115	NC_027778.1_00037
OG0000057	AF371960.1_00117	NC_027778.1_00121
OG0000058	AF371960.1_00002	NC_027778.1_00087
OG0000059	AF371960.1_00010	NC_027778.1_00064
OG0000060	AF371960.1_00018	NC_027778.1_00071
OG0000061	AF371960.1_00093	NC_027778.1_00033
OG0000062	AF371960.1_00027	NC_027778.1_00054
OG0000096	AF371960.1_00119	NC_027778.1_00025
OG0000114	AF371960.1_00011	NC_027778.1_00065
OG0000115	AF371960.1_00054	NC_027778.1_00015
OG0000117	AF371960.1_00094	NC_027778.1_00034
OG0000129	AF371960.1_00074	NC_027778.1_00056
