Orthogroup	MT521409	KX643370
OG0000000	OM037668.1_00035 hypothetical protein	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	OM037668.1_00056 hypothetical protein	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000002	OM037668.1_00050 hypothetical protein	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000003	SDDV_ORF038 Flap endonuclease	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	OM037668.1_00077 hypothetical protein	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	OM037668.1_00013 hypothetical protein	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000006	OM037668.1_00057 Major capsid protein	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000007	OM037668.1_00041 hypothetical protein	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000008	OM037668.1_00123 hypothetical protein	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000009	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000010	OM037668.1_00098 hypothetical protein	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000011	OM037668.1_00009 hypothetical protein	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000012	OM037668.1_00090 hypothetical protein	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000013	OM037668.1_00084 hypothetical protein	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000014	OM037668.1_00073 hypothetical protein	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000015	OM037668.1_00078 hypothetical protein	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000016	OM037668.1_00004 hypothetical protein	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000017	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000018	OM037668.1_00124 hypothetical protein	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000019	OM037668.1_00021 hypothetical protein	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000020	OM037668.1_00089 hypothetical protein	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000021	OM037668.1_00080 hypothetical protein	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000022	OM037668.1_00076 hypothetical protein	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000023	SDDV_ORF011 Tripartite motif-containing protein, OM037668.1_00129 hypothetical protein, OM037668.1_00010 hypothetical protein	Lymph_LDV3_KX643370_00001 hypothetical protein
OG0000024	OM037668.1_00113 hypothetical protein	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000026	OM037668.1_00087 hypothetical protein	Lymph_LDV3_KX643370_00015 hypothetical protein
OG0000027	OM037668.1_00074 hypothetical protein	Lymph_LDV3_KX643370_00119 hypothetical protein
OG0000028	OM037668.1_00110 hypothetical protein	Lymph_LDV3_KX643370_00096 hypothetical protein
OG0000119	OM037668.1_00062 hypothetical protein	Lymph_LDV3_KX643370_00009 hypothetical protein, Lymph_LDV3_KX643370_00017 hypothetical protein
OG0000133	OM037668.1_00015 Serine proteinase inhibitor 1, OM037668.1_00071 Serine proteinase inhibitor 2	Lymph_LDV3_KX643370_00041 Serine proteinase inhibitor 2
OG0000137	OM037668.1_00068 Thymidylate synthase	Lymph_LDV3_KX643370_00042 Thymidylate synthase
OG0000138	OM037668.1_00036 hypothetical protein	Lymph_LDV3_KX643370_00085 hypothetical protein, Lymph_LDV3_KX643370_00100 hypothetical protein, Lymph_LDV3_KX643370_00012 hypothetical protein
OG0000149	OM037668.1_00001 hypothetical protein	Lymph_LDV3_KX643370_00047 hypothetical protein
OG0000203	OM037668.1_00088 hypothetical protein	Lymph_LDV3_KX643370_00114 hypothetical protein
