Orthogroup	MT521409	AY521625
OG0000000	OM037668.1_00035 hypothetical protein	AY521625.1_00091 AY521625.1 - hypothetical protein translation
OG0000001	OM037668.1_00056 hypothetical protein	AY521625.1_00077 AY521625.1 - hypothetical protein translation
OG0000002	OM037668.1_00050 hypothetical protein	AY521625.1_00130 AY521625.1 - hypothetical protein translation
OG0000003	SDDV_ORF038 Flap endonuclease	AY521625.1_00085 AY521625.1 - hypothetical protein translation
OG0000004	OM037668.1_00077 hypothetical protein	AY521625.1_00142 AY521625.1 - hypothetical protein translation
OG0000005	OM037668.1_00013 hypothetical protein	AY521625.1_00054 AY521625.1 - hypothetical protein translation
OG0000006	OM037668.1_00057 Major capsid protein	AY521625.1_00064 AY521625.1 - Major capsid protein translation
OG0000007	OM037668.1_00041 hypothetical protein	AY521625.1_00110 AY521625.1 - hypothetical protein translation
OG0000008	OM037668.1_00123 hypothetical protein	AY521625.1_00074 AY521625.1 - hypothetical protein translation
OG0000009	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	OM037668.1_00098 hypothetical protein	AY521625.1_00048 AY521625.1 - hypothetical protein translation
OG0000011	OM037668.1_00009 hypothetical protein	AY521625.1_00053 AY521625.1 - hypothetical protein translation
OG0000012	OM037668.1_00090 hypothetical protein	AY521625.1_00086 AY521625.1 - hypothetical protein translation
OG0000013	OM037668.1_00084 hypothetical protein	AY521625.1_00016 AY521625.1 - hypothetical protein translation
OG0000014	OM037668.1_00073 hypothetical protein	AY521625.1_00047 AY521625.1 - hypothetical protein translation
OG0000015	OM037668.1_00078 hypothetical protein	AY521625.1_00115 AY521625.1 - hypothetical protein translation
OG0000016	OM037668.1_00004 hypothetical protein	AY521625.1_00035 AY521625.1 - hypothetical protein translation
OG0000017	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	AY521625.1_00042 AY521625.1 - hypothetical protein translation
OG0000018	OM037668.1_00124 hypothetical protein	AY521625.1_00059 AY521625.1 - hypothetical protein translation
OG0000019	OM037668.1_00021 hypothetical protein	AY521625.1_00051 AY521625.1 - hypothetical protein translation
OG0000020	OM037668.1_00089 hypothetical protein	AY521625.1_00073 AY521625.1 - hypothetical protein translation
OG0000021	OM037668.1_00080 hypothetical protein	AY521625.1_00100 AY521625.1 - hypothetical protein translation
OG0000022	OM037668.1_00076 hypothetical protein	AY521625.1_00069 AY521625.1 - hypothetical protein translation
OG0000024	OM037668.1_00113 hypothetical protein	AY521625.1_00062 AY521625.1 - hypothetical protein translation
OG0000026	OM037668.1_00087 hypothetical protein	AY521625.1_00022 AY521625.1 - hypothetical protein translation
OG0000027	OM037668.1_00074 hypothetical protein	AY521625.1_00060 AY521625.1 - hypothetical protein translation
OG0000031	OM037668.1_00030 hypothetical protein	AY521625.1_00004 AY521625.1 - hypothetical protein translation
OG0000149	OM037668.1_00001 hypothetical protein	AY521625.1_00002 AY521625.1 - hypothetical protein translation
OG0000153	OM037668.1_00067 hypothetical protein, OM037668.1_00126 hypothetical protein	AY521625.1_00046 AY521625.1 - hypothetical protein translation
