Orthogroup	KF938901.1	MG570132.1
OG0000000	KF938901.1_00126	MG570132.1_00031
OG0000001	KF938901.1_00080	MG570132.1_00009
OG0000002	KF938901.1_00044	MG570132.1_00008, MG570132.1_00007
OG0000003	KF938901.1_00005	MG570132.1_00016
OG0000004	KF938901.1_00043	MG570132.1_00108
OG0000005	KF938901.1_00125	MG570132.1_00092
OG0000006	KF938901.1_00072	MG570132.1_00073
OG0000007	KF938901.1_00053	MG570132.1_00087
OG0000008	KF938901.1_00067	MG570132.1_00030
OG0000009	KF938901.1_00114	MG570132.1_00110
OG0000011	KF938901.1_00092	MG570132.1_00063
OG0000012	KF938901.1_00054	MG570132.1_00023
OG0000013	KF938901.1_00060	MG570132.1_00057
OG0000014	KF938901.1_00074	MG570132.1_00118
OG0000015	KF938901.1_00095	MG570132.1_00119
OG0000016	KF938901.1_00046	MG570132.1_00084
OG0000017	KF938901.1_00123	MG570132.1_00034
OG0000018	KF938901.1_00025	MG570132.1_00103
OG0000019	KF938901.1_00012	MG570132.1_00083
OG0000020	KF938901.1_00047	MG570132.1_00032
OG0000021	KF938901.1_00124	MG570132.1_00005
OG0000022	KF938901.1_00023	MG570132.1_00036
OG0000023	KF938901.1_00031	MG570132.1_00045
OG0000024	KF938901.1_00094	MG570132.1_00028
OG0000025	KF938901.1_00093	MG570132.1_00064
