Orthogroup	KF938901.1	HF920637.1
OG0000000	KF938901.1_00126	HF920637.1_00129, HF920637.1_00164
OG0000001	KF938901.1_00080	HF920637.1_00059
OG0000002	KF938901.1_00044	HF920637.1_00143
OG0000003	KF938901.1_00005	HF920637.1_00159
OG0000004	KF938901.1_00043	HF920637.1_00025
OG0000005	KF938901.1_00125	HF920637.1_00221
OG0000006	KF938901.1_00072	HF920637.1_00121
OG0000007	KF938901.1_00053	HF920637.1_00172
OG0000008	KF938901.1_00067	HF920637.1_00176, HF920637.1_00175
OG0000009	KF938901.1_00114	HF920637.1_00153
OG0000011	KF938901.1_00092	HF920637.1_00217
OG0000012	KF938901.1_00054	HF920637.1_00001
OG0000013	KF938901.1_00060	HF920637.1_00017
OG0000014	KF938901.1_00074	HF920637.1_00108
OG0000015	KF938901.1_00095	HF920637.1_00152
OG0000016	KF938901.1_00046	HF920637.1_00079
OG0000017	KF938901.1_00123	HF920637.1_00073
OG0000018	KF938901.1_00025	HF920637.1_00111
OG0000019	KF938901.1_00012	HF920637.1_00197
OG0000020	KF938901.1_00047	HF920637.1_00031
OG0000021	KF938901.1_00124	HF920637.1_00041
OG0000022	KF938901.1_00023	HF920637.1_00213
OG0000023	KF938901.1_00031	HF920637.1_00033
OG0000024	KF938901.1_00094	HF920637.1_00061
OG0000025	KF938901.1_00093	HF920637.1_00156
OG0000113	KF938901.1_00104	HF920637.1_00077, HF920637.1_00148
OG0000119	KF938901.1_00085, KF938901.1_00140	HF920637.1_00158, HF920637.1_00208, HF920637.1_00130, HF920637.1_00102, HF920637.1_00096, HF920637.1_00206, HF920637.1_00184, HF920637.1_00034
OG0000123	KF938901.1_00049, KF938901.1_00020, KF938901.1_00115, KF938901.1_00091	HF920637.1_00029
OG0000134	KF938901.1_00086	HF920637.1_00219
OG0000135	KF938901.1_00007	HF920637.1_00014
OG0000137	KF938901.1_00048	HF920637.1_00105
OG0000138	KF938901.1_00065	HF920637.1_00181
OG0000139	KF938901.1_00108	HF920637.1_00123
OG0000148	KF938901.1_00069	HF920637.1_00060
OG0000153	KF938901.1_00112	HF920637.1_00011, HF920637.1_00180
OG0000154	KF938901.1_00066	HF920637.1_00162
OG0000155	KF938901.1_00106	HF920637.1_00168
OG0000156	KF938901.1_00118	HF920637.1_00150
OG0000166	KF938901.1_00102	HF920637.1_00056
OG0000167	KF938901.1_00075	HF920637.1_00140
OG0000168	KF938901.1_00117	HF920637.1_00095
OG0000169	KF938901.1_00103	HF920637.1_00049
OG0000170	KF938901.1_00128	HF920637.1_00120
OG0000171	KF938901.1_00121	HF920637.1_00045
OG0000174	KF938901.1_00150	HF920637.1_00067
OG0000175	KF938901.1_00105, KF938901.1_00006	HF920637.1_00069
OG0000185	KF938901.1_00116	HF920637.1_00020
OG0000186	KF938901.1_00133	HF920637.1_00139
OG0000187	KF938901.1_00141	HF920637.1_00100
OG0000188	KF938901.1_00014	HF920637.1_00212
OG0000189	KF938901.1_00100	HF920637.1_00047
OG0000190	KF938901.1_00099	HF920637.1_00048
OG0000192	KF938901.1_00152	HF920637.1_00085
OG0000193	KF938901.1_00063	HF920637.1_00019
OG0000194	KF938901.1_00134	HF920637.1_00193
OG0000195	KF938901.1_00139	HF920637.1_00043
OG0000196	KF938901.1_00070	HF920637.1_00160
OG0000197	KF938901.1_00146	HF920637.1_00192
OG0000198	KF938901.1_00077	HF920637.1_00070
OG0000199	KF938901.1_00079	HF920637.1_00194
OG0000201	KF938901.1_00010	HF920637.1_00035
OG0000202	KF938901.1_00008	HF920637.1_00009
OG0000203	KF938901.1_00113	HF920637.1_00149
OG0000204	KF938901.1_00148	HF920637.1_00005
OG0000210	KF938901.1_00137	HF920637.1_00024
OG0000216	KF938901.1_00130	HF920637.1_00211
OG0000218	KF938901.1_00057	HF920637.1_00188
OG0000219	KF938901.1_00082	HF920637.1_00187
OG0000220	KF938901.1_00109	HF920637.1_00074
OG0000222	KF938901.1_00098	HF920637.1_00204
OG0000223	KF938901.1_00136	HF920637.1_00124
OG0000224	KF938901.1_00045	HF920637.1_00144
OG0000225	KF938901.1_00090	HF920637.1_00167
OG0000226	KF938901.1_00155	HF920637.1_00040
OG0000227	KF938901.1_00035	HF920637.1_00195
OG0000228	KF938901.1_00062	HF920637.1_00012
OG0000229	KF938901.1_00107	HF920637.1_00022
OG0000230	KF938901.1_00154	HF920637.1_00021
OG0000282	KF938901.1_00015	HF920637.1_00053
OG0000284	KF938901.1_00016	HF920637.1_00174
OG0000287	KF938901.1_00122	HF920637.1_00063
OG0000410	KF938901.1_00157	HF920637.1_00078
