Orthogroup	KF938901.1	AY894343.1
OG0000000	KF938901.1_00126	AY894343.1_00029
OG0000001	KF938901.1_00080	AY894343.1_00008
OG0000002	KF938901.1_00044	AY894343.1_00007
OG0000003	KF938901.1_00005	AY894343.1_00015
OG0000004	KF938901.1_00043	AY894343.1_00113
OG0000005	KF938901.1_00125	AY894343.1_00096
OG0000006	KF938901.1_00072	AY894343.1_00076
OG0000007	KF938901.1_00053	AY894343.1_00090
OG0000008	KF938901.1_00067	AY894343.1_00028
OG0000009	KF938901.1_00114	AY894343.1_00115
OG0000011	KF938901.1_00092	AY894343.1_00063
OG0000012	KF938901.1_00054	AY894343.1_00021
OG0000013	KF938901.1_00060	AY894343.1_00056
OG0000014	KF938901.1_00074	AY894343.1_00123
OG0000015	KF938901.1_00095	AY894343.1_00124
OG0000016	KF938901.1_00046	AY894343.1_00087
OG0000017	KF938901.1_00123	AY894343.1_00032
OG0000018	KF938901.1_00025	AY894343.1_00108
OG0000019	KF938901.1_00012	AY894343.1_00086
OG0000020	KF938901.1_00047	AY894343.1_00030
OG0000021	KF938901.1_00124	AY894343.1_00005
OG0000022	KF938901.1_00023	AY894343.1_00034
OG0000023	KF938901.1_00031	AY894343.1_00043
OG0000024	KF938901.1_00094	AY894343.1_00025
OG0000025	KF938901.1_00093	AY894343.1_00064
