Orthogroup	AF303741	MW883595
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	AF371960.1_00031 hypothetical protein
OG0000001	AF303741.1_00047 hypothetical protein	AF371960.1_00008 hypothetical protein
OG0000002	AF303741.1_00035 hypothetical protein	AF371960.1_00015 hypothetical protein
OG0000003	AF303741.1_00165 hypothetical protein	AF371960.1_00030 hypothetical protein
OG0000004	AF303741.1_00176 hypothetical protein	AF371960.1_00113 hypothetical protein
OG0000005	AF303741.1_00158 hypothetical protein	AF371960.1_00005 hypothetical protein
OG0000006	AF303741.1_00125 Major capsid protein	AF371960.1_00007 Major capsid protein
OG0000007	AF303741.1_00011 hypothetical protein	AF371960.1_00021 hypothetical protein
OG0000008	AF303741.1_00156 hypothetical protein	AF371960.1_00032 hypothetical protein
OG0000009	AF303741.1_00063 hypothetical protein	AF371960.1_00034 hypothetical protein
OG0000010	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	AF371960.1_00036 DNA-directed RNA polymerase subunit 2
OG0000011	AF303741.1_00023 hypothetical protein	AF371960.1_00057 hypothetical protein
OG0000012	AF303741.1_00006 hypothetical protein	AF371960.1_00064 hypothetical protein
OG0000013	AF303741.1_00137 hypothetical protein	AF371960.1_00088 hypothetical protein
OG0000014	AF303741.1_00149 hypothetical protein	AF371960.1_00092 hypothetical protein
OG0000015	AF303741.1_00081 hypothetical protein	AF371960.1_00107 hypothetical protein
OG0000016	AF303741.1_00026 hypothetical protein	AF371960.1_00121 hypothetical protein
OG0000017	AF303741.1_00046 hypothetical protein	AF371960.1_00122 hypothetical protein
OG0000018	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000019	AF303741.1_00132 hypothetical protein	AF371960.1_00078 hypothetical protein
OG0000020	AF303741.1_00062 hypothetical protein	AF371960.1_00089 hypothetical protein
OG0000021	AF303741.1_00129 hypothetical protein	AF371960.1_00096 hypothetical protein
OG0000022	AF303741.1_00080 hypothetical protein	AF371960.1_00112 hypothetical protein
OG0000023	AF303741.1_00154 FAD-linked sulfhydryl oxidase	AF371960.1_00045 hypothetical protein
OG0000025	AF303741.1_00051 Dual specificity protein phosphatase H1	AF371960.1_00065 hypothetical protein
