Orthogroup	AF303741	AY521625
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	AY521625.1_00091 AY521625.1 - hypothetical protein translation
OG0000001	AF303741.1_00047 hypothetical protein	AY521625.1_00077 AY521625.1 - hypothetical protein translation
OG0000002	AF303741.1_00035 hypothetical protein	AY521625.1_00130 AY521625.1 - hypothetical protein translation
OG0000003	AF303741.1_00165 hypothetical protein	AY521625.1_00085 AY521625.1 - hypothetical protein translation
OG0000004	AF303741.1_00176 hypothetical protein	AY521625.1_00142 AY521625.1 - hypothetical protein translation
OG0000005	AF303741.1_00158 hypothetical protein	AY521625.1_00054 AY521625.1 - hypothetical protein translation
OG0000006	AF303741.1_00125 Major capsid protein	AY521625.1_00064 AY521625.1 - Major capsid protein translation
OG0000007	AF303741.1_00011 hypothetical protein	AY521625.1_00110 AY521625.1 - hypothetical protein translation
OG0000008	AF303741.1_00156 hypothetical protein	AY521625.1_00074 AY521625.1 - hypothetical protein translation
OG0000009	AF303741.1_00063 hypothetical protein	AY521625.1_00059 AY521625.1 - hypothetical protein translation
OG0000010	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000011	AF303741.1_00023 hypothetical protein	AY521625.1_00048 AY521625.1 - hypothetical protein translation
OG0000012	AF303741.1_00006 hypothetical protein	AY521625.1_00053 AY521625.1 - hypothetical protein translation
OG0000013	AF303741.1_00137 hypothetical protein	AY521625.1_00086 AY521625.1 - hypothetical protein translation
OG0000014	AF303741.1_00149 hypothetical protein	AY521625.1_00016 AY521625.1 - hypothetical protein translation
OG0000015	AF303741.1_00081 hypothetical protein	AY521625.1_00047 AY521625.1 - hypothetical protein translation
OG0000016	AF303741.1_00026 hypothetical protein	AY521625.1_00115 AY521625.1 - hypothetical protein translation
OG0000017	AF303741.1_00046 hypothetical protein	AY521625.1_00035 AY521625.1 - hypothetical protein translation
OG0000018	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain	AY521625.1_00042 AY521625.1 - hypothetical protein translation
OG0000019	AF303741.1_00132 hypothetical protein	AY521625.1_00051 AY521625.1 - hypothetical protein translation
OG0000020	AF303741.1_00062 hypothetical protein	AY521625.1_00073 AY521625.1 - hypothetical protein translation
OG0000021	AF303741.1_00129 hypothetical protein	AY521625.1_00100 AY521625.1 - hypothetical protein translation
OG0000022	AF303741.1_00080 hypothetical protein	AY521625.1_00069 AY521625.1 - hypothetical protein translation
OG0000023	AF303741.1_00154 FAD-linked sulfhydryl oxidase	AY521625.1_00062 AY521625.1 - hypothetical protein translation
OG0000126	AF303741.1_00170 hypothetical protein	AY521625.1_00036 AY521625.1 - hypothetical protein translation
OG0000132	AF303741.1_00126 hypothetical protein	AY521625.1_00098 AY521625.1 - hypothetical protein translation
OG0000134	AF303741.1_00031 hypothetical protein	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000140	AF303741.1_00072 hypothetical protein	AY521625.1_00133 AY521625.1 - hypothetical protein translation
OG0000149	AF303741.1_00192 hypothetical protein	AY521625.1_00044 AY521625.1 - Deoxyuridine
OG0000165	AF303741.1_00105 hypothetical protein	AY521625.1_00014 AY521625.1 - hypothetical protein translation
