Orthogroup	AF303741	OL774654
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	MK689686.1_00029 hypothetical protein
OG0000001	AF303741.1_00047 hypothetical protein	MK689686.1_00008 hypothetical protein
OG0000002	AF303741.1_00035 hypothetical protein	MK689686.1_00014 hypothetical protein
OG0000003	AF303741.1_00165 hypothetical protein	MK689686.1_00028 hypothetical protein
OG0000004	AF303741.1_00176 hypothetical protein	MK689686.1_00112 hypothetical protein
OG0000005	AF303741.1_00158 hypothetical protein	MK689686.1_00005 hypothetical protein
OG0000006	AF303741.1_00125 Major capsid protein	MK689686.1_00007 Major capsid protein
OG0000007	AF303741.1_00011 hypothetical protein	MK689686.1_00021 hypothetical protein
OG0000008	AF303741.1_00156 hypothetical protein	MK689686.1_00030 hypothetical protein
OG0000009	AF303741.1_00063 hypothetical protein	MK689686.1_00032 hypothetical protein
OG0000010	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	MK689686.1_00034 DNA-directed RNA polymerase subunit 2
OG0000011	AF303741.1_00023 hypothetical protein	MK689686.1_00056 hypothetical protein
OG0000012	AF303741.1_00006 hypothetical protein	MK689686.1_00062 hypothetical protein
OG0000013	AF303741.1_00137 hypothetical protein	MK689686.1_00084 hypothetical protein
OG0000014	AF303741.1_00149 hypothetical protein	MK689686.1_00088 hypothetical protein
OG0000015	AF303741.1_00081 hypothetical protein	MK689686.1_00105 hypothetical protein
OG0000016	AF303741.1_00026 hypothetical protein	MK689686.1_00120 hypothetical protein
OG0000017	AF303741.1_00046 hypothetical protein	MK689686.1_00121 hypothetical protein
OG0000018	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain
OG0000019	AF303741.1_00132 hypothetical protein	MK689686.1_00074 hypothetical protein
OG0000020	AF303741.1_00062 hypothetical protein	MK689686.1_00085 hypothetical protein
OG0000021	AF303741.1_00129 hypothetical protein	MK689686.1_00093 hypothetical protein
OG0000022	AF303741.1_00080 hypothetical protein	MK689686.1_00110 hypothetical protein
OG0000023	AF303741.1_00154 FAD-linked sulfhydryl oxidase	MK689686.1_00043 hypothetical protein
OG0000025	AF303741.1_00051 Dual specificity protein phosphatase H1	MK689686.1_00063 hypothetical protein
