Orthogroup	AF303741	KF938901
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	KF938901.1_00126 DNA-directed RNA polymerase subunit 1
OG0000001	AF303741.1_00047 hypothetical protein	KF938901.1_00080 hypothetical protein
OG0000002	AF303741.1_00035 hypothetical protein	KF938901.1_00005 hypothetical protein
OG0000003	AF303741.1_00165 hypothetical protein	KF938901.1_00067 hypothetical protein
OG0000004	AF303741.1_00176 hypothetical protein	KF938901.1_00114 hypothetical protein
OG0000005	AF303741.1_00158 hypothetical protein	KF938901.1_00124 hypothetical protein
OG0000006	AF303741.1_00125 Major capsid protein	KF938901.1_00044 Major capsid protein
OG0000007	AF303741.1_00011 hypothetical protein	KF938901.1_00054 hypothetical protein
OG0000008	AF303741.1_00156 hypothetical protein	KF938901.1_00047 hypothetical protein
OG0000009	AF303741.1_00063 hypothetical protein	KF938901.1_00123 hypothetical protein
OG0000010	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2
OG0000011	AF303741.1_00023 hypothetical protein	KF938901.1_00060 hypothetical protein
OG0000012	AF303741.1_00006 hypothetical protein	KF938901.1_00092 hypothetical protein
OG0000013	AF303741.1_00137 hypothetical protein	KF938901.1_00012 hypothetical protein
OG0000014	AF303741.1_00149 hypothetical protein	KF938901.1_00053 hypothetical protein
OG0000015	AF303741.1_00081 hypothetical protein	KF938901.1_00025 hypothetical protein
OG0000016	AF303741.1_00026 hypothetical protein	KF938901.1_00074 hypothetical protein
OG0000017	AF303741.1_00046 hypothetical protein	KF938901.1_00095 hypothetical protein
OG0000018	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain
OG0000019	AF303741.1_00132 hypothetical protein	KF938901.1_00072 hypothetical protein
OG0000020	AF303741.1_00062 hypothetical protein	KF938901.1_00046 hypothetical protein
OG0000021	AF303741.1_00129 hypothetical protein	KF938901.1_00125 hypothetical protein
OG0000022	AF303741.1_00080 hypothetical protein	KF938901.1_00043 hypothetical protein
OG0000025	AF303741.1_00051 Dual specificity protein phosphatase H1	KF938901.1_00093 hypothetical protein
OG0000121	AF303741.1_00094 hypothetical protein, AF303741.1_00109 hypothetical protein	KF938901.1_00085 hypothetical protein, KF938901.1_00140 hypothetical protein
OG0000127	AF303741.1_00121 hypothetical protein, AF303741.1_00195 hypothetical protein	KF938901.1_00020 hypothetical protein, KF938901.1_00049 hypothetical protein, KF938901.1_00115 hypothetical protein, KF938901.1_00091 hypothetical protein
OG0000129	AF303741.1_00088 hypothetical protein	KF938901.1_00135 hypothetical protein, KF938901.1_00151 hypothetical protein, KF938901.1_00001 hypothetical protein, KF938901.1_00158 hypothetical protein, KF938901.1_00084 hypothetical protein, KF938901.1_00030 hypothetical protein, KF938901.1_00119 hypothetical protein, KF938901.1_00127 hypothetical protein
OG0000132	AF303741.1_00126 hypothetical protein	KF938901.1_00086 hypothetical protein
OG0000134	AF303741.1_00031 hypothetical protein	KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit
OG0000135	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein	KF938901.1_00065 hypothetical protein
OG0000136	AF303741.1_00101 Thymidylate synthase	KF938901.1_00108 Thymidylate synthase
OG0000140	AF303741.1_00072 hypothetical protein	KF938901.1_00069 hypothetical protein
OG0000141	AF303741.1_00157 hypothetical protein	KF938901.1_00007 hypothetical protein
OG0000147	AF303741.1_00145 hypothetical protein, AF303741.1_00090 hypothetical protein	KF938901.1_00112 hypothetical protein
OG0000148	AF303741.1_00183 hypothetical protein	KF938901.1_00106 hypothetical protein
OG0000149	AF303741.1_00192 hypothetical protein	KF938901.1_00118 Deoxyuridine
OG0000159	AF303741.1_00056 hypothetical protein	KF938901.1_00102 hypothetical protein
OG0000160	AF303741.1_00068 hypothetical protein, AF303741.1_00067 hypothetical protein	KF938901.1_00075 hypothetical protein
OG0000161	AF303741.1_00076 hypothetical protein	KF938901.1_00117 hypothetical protein
OG0000162	AF303741.1_00087 hypothetical protein	KF938901.1_00103 hypothetical protein
OG0000163	AF303741.1_00091 DNA ligase	KF938901.1_00128 DNA ligase
OG0000164	AF303741.1_00096 hypothetical protein	KF938901.1_00121 hypothetical protein
OG0000165	AF303741.1_00105 hypothetical protein	KF938901.1_00101 hypothetical protein
OG0000166	AF303741.1_00169 hypothetical protein	KF938901.1_00104 hypothetical protein
OG0000167	AF303741.1_00179 hypothetical protein	KF938901.1_00150 hypothetical protein
OG0000168	AF303741.1_00181 hypothetical protein	KF938901.1_00006 hypothetical protein, KF938901.1_00105 hypothetical protein
OG0000169	AF303741.1_00182 hypothetical protein	KF938901.1_00153 hypothetical protein
OG0000175	AF303741.1_00003 hypothetical protein	KF938901.1_00116 hypothetical protein
OG0000176	AF303741.1_00004 hypothetical protein	KF938901.1_00133 hypothetical protein
OG0000178	AF303741.1_00015 DNA topoisomerase 2	KF938901.1_00141 DNA topoisomerase 2
OG0000179	AF303741.1_00017 hypothetical protein	KF938901.1_00014 hypothetical protein
OG0000180	AF303741.1_00085 hypothetical protein	KF938901.1_00100 hypothetical protein
OG0000181	AF303741.1_00086 hypothetical protein	KF938901.1_00099 hypothetical protein
OG0000182	AF303741.1_00104 hypothetical protein	KF938901.1_00073 hypothetical protein
OG0000183	AF303741.1_00112 hypothetical protein	KF938901.1_00152 hypothetical protein
OG0000185	AF303741.1_00122 hypothetical protein	KF938901.1_00063 hypothetical protein
OG0000186	AF303741.1_00136 hypothetical protein	KF938901.1_00134 hypothetical protein
OG0000187	AF303741.1_00146 hypothetical protein	KF938901.1_00139 hypothetical protein
OG0000188	AF303741.1_00148 hypothetical protein	KF938901.1_00070 hypothetical protein
OG0000189	AF303741.1_00150 hypothetical protein	KF938901.1_00146 hypothetical protein
OG0000190	AF303741.1_00151 hypothetical protein	KF938901.1_00077 hypothetical protein
OG0000191	AF303741.1_00161 hypothetical protein	KF938901.1_00079 hypothetical protein
OG0000193	AF303741.1_00177 hypothetical protein	KF938901.1_00010 hypothetical protein
OG0000194	AF303741.1_00184 hypothetical protein	KF938901.1_00008 hypothetical protein
OG0000195	AF303741.1_00193 hypothetical protein	KF938901.1_00113 hypothetical protein
OG0000196	AF303741.1_00197 hypothetical protein	KF938901.1_00148 hypothetical protein
OG0000204	AF303741.1_00018 hypothetical protein	KF938901.1_00130 hypothetical protein
OG0000206	AF303741.1_00042 hypothetical protein	KF938901.1_00057 hypothetical protein
OG0000207	AF303741.1_00044 hypothetical protein	KF938901.1_00082 hypothetical protein
OG0000208	AF303741.1_00064 hypothetical protein	KF938901.1_00109 hypothetical protein
OG0000209	AF303741.1_00074 hypothetical protein	KF938901.1_00029 hypothetical protein
OG0000210	AF303741.1_00107 hypothetical protein	KF938901.1_00098 hypothetical protein
OG0000211	AF303741.1_00120 hypothetical protein	KF938901.1_00136 hypothetical protein
OG0000212	AF303741.1_00124 hypothetical protein	KF938901.1_00045 hypothetical protein
OG0000213	AF303741.1_00135 hypothetical protein	KF938901.1_00090 hypothetical protein
OG0000214	AF303741.1_00159 hypothetical protein	KF938901.1_00155 hypothetical protein
OG0000215	AF303741.1_00160 hypothetical protein	KF938901.1_00035 hypothetical protein
OG0000216	AF303741.1_00175 hypothetical protein	KF938901.1_00062 hypothetical protein
OG0000217	AF303741.1_00203 hypothetical protein	KF938901.1_00107 hypothetical protein
OG0000218	AF303741.1_00204 hypothetical protein	KF938901.1_00154 hypothetical protein
OG0000234	AF303741.1_00028 hypothetical protein	KF938901.1_00038 hypothetical protein
OG0000235	AF303741.1_00053 hypothetical protein	KF938901.1_00015 hypothetical protein
OG0000237	AF303741.1_00093 hypothetical protein	KF938901.1_00016 hypothetical protein
OG0000238	AF303741.1_00115 hypothetical protein	KF938901.1_00018 hypothetical protein
OG0000239	AF303741.1_00116 hypothetical protein	KF938901.1_00040 hypothetical protein
OG0000241	AF303741.1_00201 hypothetical protein	KF938901.1_00122 hypothetical protein
