Orthogroup	AF303741	MN803438
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	MN803438.1_00124 hypothetical protein
OG0000001	AF303741.1_00047 hypothetical protein	MN803438.1_00101 hypothetical protein
OG0000002	AF303741.1_00035 hypothetical protein	MN803438.1_00113 hypothetical protein
OG0000003	AF303741.1_00165 hypothetical protein	MN803438.1_00106 hypothetical protein
OG0000004	AF303741.1_00176 hypothetical protein	MN803438.1_00109 hypothetical protein
OG0000005	AF303741.1_00158 hypothetical protein	MN803438.1_00089 hypothetical protein
OG0000006	AF303741.1_00125 Major capsid protein	MN803438.1_00023 Major capsid protein
OG0000007	AF303741.1_00011 hypothetical protein	MN803438.1_00128 hypothetical protein
OG0000008	AF303741.1_00156 hypothetical protein	MN803438.1_00068 hypothetical protein
OG0000009	AF303741.1_00063 hypothetical protein	MN803438.1_00035 hypothetical protein
OG0000010	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	MN803438.1_00013 hypothetical protein
OG0000011	AF303741.1_00023 hypothetical protein	MN803438.1_00007 hypothetical protein
OG0000012	AF303741.1_00006 hypothetical protein	MN803438.1_00049 hypothetical protein
OG0000013	AF303741.1_00137 hypothetical protein	MN803438.1_00097 hypothetical protein
OG0000014	AF303741.1_00149 hypothetical protein	MN803438.1_00027 hypothetical protein
OG0000015	AF303741.1_00081 hypothetical protein	MN803438.1_00051 hypothetical protein
OG0000016	AF303741.1_00026 hypothetical protein	MN803438.1_00070 hypothetical protein
OG0000017	AF303741.1_00046 hypothetical protein	MN803438.1_00046 hypothetical protein
OG0000018	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain	MN803438.1_00024 hypothetical protein
OG0000019	AF303741.1_00132 hypothetical protein	MN803438.1_00142 hypothetical protein
OG0000020	AF303741.1_00062 hypothetical protein	MN803438.1_00122 hypothetical protein
OG0000021	AF303741.1_00129 hypothetical protein	MN803438.1_00071 hypothetical protein
OG0000022	AF303741.1_00080 hypothetical protein	MN803438.1_00104 hypothetical protein
OG0000023	AF303741.1_00154 FAD-linked sulfhydryl oxidase	MN803438.1_00077 hypothetical protein
OG0000126	AF303741.1_00170 hypothetical protein	MN803438.1_00125 hypothetical protein, MN803438.1_00094 hypothetical protein, MN803438.1_00107 hypothetical protein, MN803438.1_00112 hypothetical protein, MN803438.1_00120 hypothetical protein, MN803438.1_00012 hypothetical protein, MN803438.1_00021 hypothetical protein
OG0000132	AF303741.1_00126 hypothetical protein	MN803438.1_00115 hypothetical protein
OG0000134	AF303741.1_00031 hypothetical protein	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit
OG0000135	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein	MN803438.1_00137 hypothetical protein
OG0000136	AF303741.1_00101 Thymidylate synthase	MN803438.1_00005 Thymidylate synthase
OG0000141	AF303741.1_00157 hypothetical protein	MN803438.1_00006 hypothetical protein
OG0000148	AF303741.1_00183 hypothetical protein	MN803438.1_00135 hypothetical protein
