Orthogroup	AF303741	LS484712
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	LS484712.1_00114 hypothetical protein
OG0000001	AF303741.1_00047 hypothetical protein	LS484712.1_00095 hypothetical protein
OG0000002	AF303741.1_00035 hypothetical protein	LS484712.1_00187 hypothetical protein
OG0000003	AF303741.1_00165 hypothetical protein	LS484712.1_00248 hypothetical protein
OG0000004	AF303741.1_00176 hypothetical protein	LS484712.1_00130 hypothetical protein
OG0000005	AF303741.1_00158 hypothetical protein	LS484712.1_00096 hypothetical protein
OG0000006	AF303741.1_00125 Major capsid protein	LS484712.1_00142 Major capsid protein
OG0000007	AF303741.1_00011 hypothetical protein	LS484712.1_00200 hypothetical protein
OG0000008	AF303741.1_00156 hypothetical protein	LS484712.1_00188 hypothetical protein
OG0000009	AF303741.1_00063 hypothetical protein	LS484712.1_00240 hypothetical protein
OG0000010	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000011	AF303741.1_00023 hypothetical protein	LS484712.1_00143 hypothetical protein
OG0000012	AF303741.1_00006 hypothetical protein	LS484712.1_00203 hypothetical protein
OG0000013	AF303741.1_00137 hypothetical protein	LS484712.1_00192 hypothetical protein
OG0000014	AF303741.1_00149 hypothetical protein	LS484712.1_00050 hypothetical protein
OG0000015	AF303741.1_00081 hypothetical protein	LS484712.1_00053 hypothetical protein
OG0000016	AF303741.1_00026 hypothetical protein	LS484712.1_00202 hypothetical protein
OG0000017	AF303741.1_00046 hypothetical protein	LS484712.1_00135 hypothetical protein
OG0000018	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000019	AF303741.1_00132 hypothetical protein	LS484712.1_00040 hypothetical protein
OG0000023	AF303741.1_00154 FAD-linked sulfhydryl oxidase	LS484712.1_00117 hypothetical protein
OG0000127	AF303741.1_00178 hypothetical protein, AF303741.1_00121 hypothetical protein, AF303741.1_00195 hypothetical protein	LS484712.1_00198 hypothetical protein
OG0000132	AF303741.1_00126 hypothetical protein	LS484712.1_00057 hypothetical protein
OG0000134	AF303741.1_00031 hypothetical protein	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit
OG0000135	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein	LS484712.1_00063 hypothetical protein
OG0000140	AF303741.1_00072 hypothetical protein	LS484712.1_00133 hypothetical protein
OG0000141	AF303741.1_00157 hypothetical protein	LS484712.1_00197 hypothetical protein
OG0000147	AF303741.1_00145 hypothetical protein, AF303741.1_00090 hypothetical protein	LS484712.1_00211 hypothetical protein
OG0000159	AF303741.1_00056 hypothetical protein	LS484712.1_00116 hypothetical protein
OG0000160	AF303741.1_00068 hypothetical protein, AF303741.1_00067 hypothetical protein	LS484712.1_00113 hypothetical protein
OG0000161	AF303741.1_00076 hypothetical protein	LS484712.1_00140 hypothetical protein
OG0000162	AF303741.1_00087 hypothetical protein	LS484712.1_00195 hypothetical protein
OG0000163	AF303741.1_00091 DNA ligase	LS484712.1_00212 hypothetical protein
OG0000164	AF303741.1_00096 hypothetical protein	LS484712.1_00112 hypothetical protein
OG0000167	AF303741.1_00179 hypothetical protein	LS484712.1_00184 hypothetical protein
OG0000185	AF303741.1_00122 hypothetical protein	LS484712.1_00196 hypothetical protein
OG0000187	AF303741.1_00146 hypothetical protein	LS484712.1_00224 hypothetical protein
OG0000190	AF303741.1_00151 hypothetical protein	LS484712.1_00060 hypothetical protein
OG0000193	AF303741.1_00177 hypothetical protein	LS484712.1_00163 hypothetical protein
OG0000194	AF303741.1_00184 hypothetical protein	LS484712.1_00120 hypothetical protein
OG0000195	AF303741.1_00193 hypothetical protein	LS484712.1_00106 hypothetical protein
OG0000202	AF303741.1_00008 hypothetical protein	LS484712.1_00052 hypothetical protein
OG0000209	AF303741.1_00074 hypothetical protein	LS484712.1_00233 hypothetical protein
