Orthogroup	AF303741	OM037668
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	OM037668.1_00035 hypothetical protein
OG0000001	AF303741.1_00047 hypothetical protein	OM037668.1_00056 hypothetical protein
OG0000002	AF303741.1_00035 hypothetical protein	OM037668.1_00050 hypothetical protein
OG0000003	AF303741.1_00165 hypothetical protein	SDDV_ORF038 Flap endonuclease
OG0000004	AF303741.1_00176 hypothetical protein	OM037668.1_00077 hypothetical protein
OG0000005	AF303741.1_00158 hypothetical protein	OM037668.1_00013 hypothetical protein
OG0000006	AF303741.1_00125 Major capsid protein	OM037668.1_00057 Major capsid protein
OG0000007	AF303741.1_00011 hypothetical protein	OM037668.1_00041 hypothetical protein
OG0000008	AF303741.1_00156 hypothetical protein	OM037668.1_00123 hypothetical protein
OG0000009	AF303741.1_00063 hypothetical protein	OM037668.1_00124 hypothetical protein
OG0000010	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000011	AF303741.1_00023 hypothetical protein	OM037668.1_00098 hypothetical protein
OG0000012	AF303741.1_00006 hypothetical protein	OM037668.1_00009 hypothetical protein
OG0000013	AF303741.1_00137 hypothetical protein	OM037668.1_00090 hypothetical protein
OG0000014	AF303741.1_00149 hypothetical protein	OM037668.1_00084 hypothetical protein
OG0000015	AF303741.1_00081 hypothetical protein	OM037668.1_00073 hypothetical protein
OG0000016	AF303741.1_00026 hypothetical protein	OM037668.1_00078 hypothetical protein
OG0000017	AF303741.1_00046 hypothetical protein	OM037668.1_00004 hypothetical protein
OG0000018	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain
OG0000019	AF303741.1_00132 hypothetical protein	OM037668.1_00021 hypothetical protein
OG0000020	AF303741.1_00062 hypothetical protein	OM037668.1_00089 hypothetical protein
OG0000021	AF303741.1_00129 hypothetical protein	OM037668.1_00080 hypothetical protein
OG0000022	AF303741.1_00080 hypothetical protein	OM037668.1_00076 hypothetical protein
OG0000023	AF303741.1_00154 FAD-linked sulfhydryl oxidase	OM037668.1_00113 hypothetical protein
OG0000025	AF303741.1_00051 Dual specificity protein phosphatase H1	OM037668.1_00024 hypothetical protein
OG0000136	AF303741.1_00101 Thymidylate synthase	OM037668.1_00068 Thymidylate synthase
OG0000177	AF303741.1_00009 hypothetical protein	OM037668.1_00022 hypothetical protein
OG0000184	AF303741.1_00117 hypothetical protein	OM037668.1_00023 hypothetical protein
