	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
Number of genes	120	119	121	121	121	116	121	115	118	122	120	118	119	120	121	120	114	122	120	118	133	119	119	132	116	122	120	119	120	121	121	118	120	121	120	120	122	120	120	120	120	121	122	121	122	117	119	119	134	120	121	120	117	121	121	121	118	121	117	120	120	118	103
Number of genes in orthogroups	120	118	121	121	121	116	121	114	118	121	120	117	119	120	121	120	104	122	120	118	133	119	118	132	116	121	120	119	119	121	120	118	119	120	120	120	121	120	120	119	120	120	122	121	122	117	119	119	133	120	120	120	117	121	120	117	118	120	117	120	120	118	98
Number of unassigned genes	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	10	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	4	0	1	0	0	0	0	5
Percentage of genes in orthogroups	100.0	99.2	100.0	100.0	100.0	100.0	100.0	99.1	100.0	99.2	100.0	99.2	100.0	100.0	100.0	100.0	91.2	100.0	100.0	100.0	100.0	100.0	99.2	100.0	100.0	99.2	100.0	100.0	99.2	100.0	99.2	100.0	99.2	99.2	100.0	100.0	99.2	100.0	100.0	99.2	100.0	99.2	100.0	100.0	100.0	100.0	100.0	100.0	99.3	100.0	99.2	100.0	100.0	100.0	99.2	96.7	100.0	99.2	100.0	100.0	100.0	100.0	95.1
Percentage of unassigned genes	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.8	0.0	0.8	0.0	0.0	0.0	0.0	8.8	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.8	0.0	0.0	0.8	0.0	0.8	0.0	0.8	0.8	0.0	0.0	0.8	0.0	0.0	0.8	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.8	0.0	0.0	0.0	0.8	3.3	0.0	0.8	0.0	0.0	0.0	0.0	4.9
Number of orthogroups containing species	119	118	121	121	121	116	121	114	118	121	120	117	119	120	121	120	98	122	120	118	123	119	118	123	116	121	120	119	119	121	120	118	119	120	120	120	121	120	120	119	120	120	122	121	121	117	119	119	124	120	120	120	117	121	120	117	118	120	117	120	120	118	96
Percentage of orthogroups containing species	64.0	63.4	65.1	65.1	65.1	62.4	65.1	61.3	63.4	65.1	64.5	62.9	64.0	64.5	65.1	64.5	52.7	65.6	64.5	63.4	66.1	64.0	63.4	66.1	62.4	65.1	64.5	64.0	64.0	65.1	64.5	63.4	64.0	64.5	64.5	64.5	65.1	64.5	64.5	64.0	64.5	64.5	65.6	65.1	65.1	62.9	64.0	64.0	66.7	64.5	64.5	64.5	62.9	65.1	64.5	62.9	63.4	64.5	62.9	64.5	64.5	63.4	51.6
Number of species-specific orthogroups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Number of genes in species-specific orthogroups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Percentage of genes in species-specific orthogroups	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9
