Orthogroup	Chlor_AMIV_KF938901.1	Chlor_IIV22_HF920633.1
OG0000000	Chlor_AMIV_KF938901.1_00126	Chlor_IIV22_HF920633.1_00044
OG0000001	Chlor_AMIV_KF938901.1_00044	Chlor_IIV22_HF920633.1_00073
OG0000002	Chlor_AMIV_KF938901.1_00080	Chlor_IIV22_HF920633.1_00069
OG0000003	Chlor_AMIV_KF938901.1_00005	Chlor_IIV22_HF920633.1_00127
OG0000004	Chlor_AMIV_KF938901.1_00043	Chlor_IIV22_HF920633.1_00079
OG0000005	Chlor_AMIV_KF938901.1_00053	Chlor_IIV22_HF920633.1_00091
OG0000006	Chlor_AMIV_KF938901.1_00067	Chlor_IIV22_HF920633.1_00043
OG0000007	Chlor_AMIV_KF938901.1_00072	Chlor_IIV22_HF920633.1_00025
OG0000008	Chlor_AMIV_KF938901.1_00114	Chlor_IIV22_HF920633.1_00122
OG0000009	Chlor_AMIV_KF938901.1_00125	Chlor_IIV22_HF920633.1_00085
OG0000011	Chlor_AMIV_KF938901.1_00012	Chlor_IIV22_HF920633.1_00163
OG0000012	Chlor_AMIV_KF938901.1_00023	Chlor_IIV22_HF920633.1_00175
OG0000013	Chlor_AMIV_KF938901.1_00025	Chlor_IIV22_HF920633.1_00003
OG0000014	Chlor_AMIV_KF938901.1_00046	Chlor_IIV22_HF920633.1_00094
OG0000015	Chlor_AMIV_KF938901.1_00047	Chlor_IIV22_HF920633.1_00080
OG0000016	Chlor_AMIV_KF938901.1_00054	Chlor_IIV22_HF920633.1_00001
OG0000017	Chlor_AMIV_KF938901.1_00060	Chlor_IIV22_HF920633.1_00067
OG0000018	Chlor_AMIV_KF938901.1_00074	Chlor_IIV22_HF920633.1_00138
OG0000019	Chlor_AMIV_KF938901.1_00092	Chlor_IIV22_HF920633.1_00118
OG0000020	Chlor_AMIV_KF938901.1_00095	Chlor_IIV22_HF920633.1_00058
OG0000021	Chlor_AMIV_KF938901.1_00123	Chlor_IIV22_HF920633.1_00158
OG0000022	Chlor_AMIV_KF938901.1_00124	Chlor_IIV22_HF920633.1_00097
OG0000023	Chlor_AMIV_KF938901.1_00031	Chlor_IIV22_HF920633.1_00017
OG0000024	Chlor_AMIV_KF938901.1_00094	Chlor_IIV22_HF920633.1_00062
OG0000025	Chlor_AMIV_KF938901.1_00093	Chlor_IIV22_HF920633.1_00047
OG0000113	Chlor_AMIV_KF938901.1_00104	Chlor_IIV22_HF920633.1_00145
OG0000119	Chlor_AMIV_KF938901.1_00085, Chlor_AMIV_KF938901.1_00140	Chlor_IIV22_HF920633.1_00040, Chlor_IIV22_HF920633.1_00117, Chlor_IIV22_HF920633.1_00143, Chlor_IIV22_HF920633.1_00057, Chlor_IIV22_HF920633.1_00107, Chlor_IIV22_HF920633.1_00172, Chlor_IIV22_HF920633.1_00170
OG0000123	Chlor_AMIV_KF938901.1_00049, Chlor_AMIV_KF938901.1_00115, Chlor_AMIV_KF938901.1_00091	Chlor_IIV22_HF920633.1_00007
OG0000123	Chlor_AMIV_KF938901.1_00020	Chlor_IIV22_HF920633.1_00130, Chlor_IIV22_HF920633.1_00174
OG0000126	Chlor_AMIV_KF938901.1_00030, Chlor_AMIV_KF938901.1_00084, Chlor_AMIV_KF938901.1_00158, Chlor_AMIV_KF938901.1_00119, Chlor_AMIV_KF938901.1_00001, Chlor_AMIV_KF938901.1_00151, Chlor_AMIV_KF938901.1_00127, Chlor_AMIV_KF938901.1_00135	Chlor_IIV22_HF920633.1_00059, Chlor_IIV22_HF920633.1_00119, Chlor_IIV22_HF920633.1_00081
OG0000133	Chlor_AMIV_KF938901.1_00007	Chlor_IIV22_HF920633.1_00064
OG0000134	Chlor_AMIV_KF938901.1_00086	Chlor_IIV22_HF920633.1_00135
OG0000137	Chlor_AMIV_KF938901.1_00048	Chlor_IIV22_HF920633.1_00132
OG0000138	Chlor_AMIV_KF938901.1_00065	Chlor_IIV22_HF920633.1_00053
OG0000139	Chlor_AMIV_KF938901.1_00108	Chlor_IIV22_HF920633.1_00156
OG0000148	Chlor_AMIV_KF938901.1_00069	Chlor_IIV22_HF920633.1_00026
OG0000152	Chlor_AMIV_KF938901.1_00027	Chlor_IIV22_HF920633.1_00024
OG0000153	Chlor_AMIV_KF938901.1_00153	Chlor_IIV22_HF920633.1_00096
OG0000153	Chlor_AMIV_KF938901.1_00066	Chlor_IIV22_HF920633.1_00114
