Orthogroup	Chlor_AMIV_KF938901.1	Irido_IIV6_AF303741.1
OG0000000	Chlor_AMIV_KF938901.1_00126	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	Chlor_AMIV_KF938901.1_00044	Irido_IIV6_AF303741.1_00125
OG0000002	Chlor_AMIV_KF938901.1_00080	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	Chlor_AMIV_KF938901.1_00005	Irido_IIV6_AF303741.1_00035
OG0000004	Chlor_AMIV_KF938901.1_00043	Irido_IIV6_AF303741.1_00080
OG0000005	Chlor_AMIV_KF938901.1_00053	Irido_IIV6_AF303741.1_00149
OG0000006	Chlor_AMIV_KF938901.1_00067	Irido_IIV6_AF303741.1_00165
OG0000007	Chlor_AMIV_KF938901.1_00072	Irido_IIV6_AF303741.1_00132
OG0000008	Chlor_AMIV_KF938901.1_00114	Irido_IIV6_AF303741.1_00176
OG0000009	Chlor_AMIV_KF938901.1_00125	Irido_IIV6_AF303741.1_00129
OG0000011	Chlor_AMIV_KF938901.1_00012	Irido_IIV6_AF303741.1_00137
OG0000012	Chlor_AMIV_KF938901.1_00023	Irido_IIV6_AF303741.1_00189
OG0000013	Chlor_AMIV_KF938901.1_00025	Irido_IIV6_AF303741.1_00081
OG0000014	Chlor_AMIV_KF938901.1_00046	Irido_IIV6_AF303741.1_00062
OG0000015	Chlor_AMIV_KF938901.1_00047	Irido_IIV6_AF303741.1_00156
OG0000016	Chlor_AMIV_KF938901.1_00054	Irido_IIV6_AF303741.1_00011
OG0000017	Chlor_AMIV_KF938901.1_00060	Irido_IIV6_AF303741.1_00023
OG0000018	Chlor_AMIV_KF938901.1_00074	Irido_IIV6_AF303741.1_00026
OG0000019	Chlor_AMIV_KF938901.1_00092	Irido_IIV6_AF303741.1_00006
OG0000020	Chlor_AMIV_KF938901.1_00095	Irido_IIV6_AF303741.1_00046
OG0000021	Chlor_AMIV_KF938901.1_00123	Irido_IIV6_AF303741.1_00063
OG0000022	Chlor_AMIV_KF938901.1_00124	Irido_IIV6_AF303741.1_00158
OG0000023	Chlor_AMIV_KF938901.1_00031	Irido_IIV6_AF303741.1_00154
OG0000024	Chlor_AMIV_KF938901.1_00094	Irido_IIV6_AF303741.1_00168
OG0000025	Chlor_AMIV_KF938901.1_00093	Irido_IIV6_AF303741.1_00051
OG0000113	Chlor_AMIV_KF938901.1_00104	Irido_IIV6_AF303741.1_00169
OG0000119	Chlor_AMIV_KF938901.1_00085, Chlor_AMIV_KF938901.1_00140	Irido_IIV6_AF303741.1_00007, Irido_IIV6_AF303741.1_00066, Irido_IIV6_AF303741.1_00173, Irido_IIV6_AF303741.1_00095, Irido_IIV6_AF303741.1_00094, Irido_IIV6_AF303741.1_00109
OG0000123	Chlor_AMIV_KF938901.1_00049, Chlor_AMIV_KF938901.1_00115, Chlor_AMIV_KF938901.1_00091, Chlor_AMIV_KF938901.1_00020	Irido_IIV6_AF303741.1_00195
OG0000126	Chlor_AMIV_KF938901.1_00030, Chlor_AMIV_KF938901.1_00084, Chlor_AMIV_KF938901.1_00158, Chlor_AMIV_KF938901.1_00119, Chlor_AMIV_KF938901.1_00001, Chlor_AMIV_KF938901.1_00151, Chlor_AMIV_KF938901.1_00127, Chlor_AMIV_KF938901.1_00135	Irido_IIV6_AF303741.1_00088
OG0000133	Chlor_AMIV_KF938901.1_00007	Irido_IIV6_AF303741.1_00157
OG0000134	Chlor_AMIV_KF938901.1_00086	Irido_IIV6_AF303741.1_00126
OG0000137	Chlor_AMIV_KF938901.1_00048	Irido_IIV6_AF303741.1_00031
OG0000138	Chlor_AMIV_KF938901.1_00065	Irido_IIV6_AF303741.1_00100, Irido_IIV6_AF303741.1_00162
OG0000139	Chlor_AMIV_KF938901.1_00108	Irido_IIV6_AF303741.1_00101
OG0000148	Chlor_AMIV_KF938901.1_00069	Irido_IIV6_AF303741.1_00072
OG0000153	Chlor_AMIV_KF938901.1_00066	Irido_IIV6_AF303741.1_00182
OG0000154	Chlor_AMIV_KF938901.1_00106	Irido_IIV6_AF303741.1_00183
