Orthogroup	OP009387.1	LS484712.1
OG0000000	OP009387.1_00030	LS484712.1_00114
OG0000001	OP009387.1_00007	LS484712.1_00142
OG0000003	OP009387.1_00008	LS484712.1_00095
OG0000004	OP009387.1_00015	LS484712.1_00187
OG0000005	OP009387.1_00029	LS484712.1_00248
OG0000006	OP009387.1_00077	LS484712.1_00040
OG0000007	OP009387.1_00091	LS484712.1_00234, LS484712.1_00050
OG0000009	OP009387.1_00113	LS484712.1_00130
OG0000010	OP009387.1_00005	LS484712.1_00096
OG0000011	OP009387.1_00023	LS484712.1_00200
OG0000012	OP009387.1_00031	LS484712.1_00188
OG0000013	OP009387.1_00033	LS484712.1_00240
OG0000014	OP009387.1_00035	LS484712.1_00194
OG0000015	OP009387.1_00057	LS484712.1_00143
OG0000016	OP009387.1_00064	LS484712.1_00203
OG0000017	OP009387.1_00087	LS484712.1_00192
OG0000018	OP009387.1_00088	LS484712.1_00048
OG0000019	OP009387.1_00107	LS484712.1_00053
OG0000020	OP009387.1_00121	LS484712.1_00202
OG0000021	OP009387.1_00122	LS484712.1_00135
OG0000022	OP009387.1_00044	LS484712.1_00117
OG0000068	OP009387.1_00067	LS484712.1_00002
