Orthogroup	OP009387.1	KF938901.1
OG0000000	OP009387.1_00030	KF938901.1_00126
OG0000001	OP009387.1_00007	KF938901.1_00044
OG0000003	OP009387.1_00008	KF938901.1_00080
OG0000004	OP009387.1_00015	KF938901.1_00005
OG0000005	OP009387.1_00029	KF938901.1_00067
OG0000006	OP009387.1_00077	KF938901.1_00072
OG0000007	OP009387.1_00091	KF938901.1_00053
OG0000008	OP009387.1_00112	KF938901.1_00043
OG0000009	OP009387.1_00113	KF938901.1_00114
OG0000010	OP009387.1_00005	KF938901.1_00124
OG0000011	OP009387.1_00023	KF938901.1_00054
OG0000012	OP009387.1_00031	KF938901.1_00047
OG0000013	OP009387.1_00033	KF938901.1_00123
OG0000014	OP009387.1_00035	KF938901.1_00023
OG0000015	OP009387.1_00057	KF938901.1_00060
OG0000016	OP009387.1_00064	KF938901.1_00092
OG0000017	OP009387.1_00087	KF938901.1_00012
OG0000018	OP009387.1_00088	KF938901.1_00046
OG0000019	OP009387.1_00107	KF938901.1_00025
OG0000020	OP009387.1_00121	KF938901.1_00074
OG0000021	OP009387.1_00122	KF938901.1_00095
OG0000022	OP009387.1_00044	KF938901.1_00031
OG0000025	OP009387.1_00065	KF938901.1_00093
