Orthogroup	OM037668.1	MN562489.1
OG0000000	OM037668.1_00035	MN562489.1_00102
OG0000001	OM037668.1_00057	MN562489.1_00080
OG0000002	OM037668.1_00133	MN562489.1_00002
OG0000002	OM037668.1_00125	MN562489.1_00010
OG0000002	OM037668.1_00006	MN562489.1_00131
OG0000003	OM037668.1_00056	MN562489.1_00081
OG0000004	OM037668.1_00050	MN562489.1_00087
OG0000005	OM037668.1_00038	MN562489.1_00099
OG0000006	OM037668.1_00021	MN562489.1_00116
OG0000007	OM037668.1_00084	MN562489.1_00052
OG0000008	OM037668.1_00076	MN562489.1_00060
OG0000009	OM037668.1_00077	MN562489.1_00059
OG0000010	OM037668.1_00013	MN562489.1_00124
OG0000011	OM037668.1_00041	MN562489.1_00096
OG0000012	OM037668.1_00123	MN562489.1_00012
OG0000013	OM037668.1_00124	MN562489.1_00011
OG0000014	OM037668.1_00127	MN562489.1_00008
OG0000015	OM037668.1_00098	MN562489.1_00038
OG0000016	OM037668.1_00009	MN562489.1_00128
OG0000017	OM037668.1_00090	MN562489.1_00046
OG0000018	OM037668.1_00089	MN562489.1_00047
OG0000019	OM037668.1_00073	MN562489.1_00063
OG0000020	OM037668.1_00078	MN562489.1_00058
OG0000021	OM037668.1_00004	MN562489.1_00133
OG0000022	OM037668.1_00113	MN562489.1_00023
OG0000023	OM037668.1_00080	MN562489.1_00056
OG0000024	OM037668.1_00074	MN562489.1_00062
OG0000025	OM037668.1_00024	MN562489.1_00113
OG0000026	OM037668.1_00087	MN562489.1_00049
OG0000027	OM037668.1_00110	MN562489.1_00026
OG0000028	OM037668.1_00011	MN562489.1_00126
OG0000029	OM037668.1_00095	MN562489.1_00041
OG0000030	OM037668.1_00030	MN562489.1_00107
OG0000031	OM037668.1_00019	MN562489.1_00118
OG0000032	OM037668.1_00086	MN562489.1_00050
OG0000033	OM037668.1_00028	MN562489.1_00109
OG0000034	OM037668.1_00051	MN562489.1_00086
OG0000035	OM037668.1_00005	MN562489.1_00132
OG0000036	OM037668.1_00046	MN562489.1_00091
OG0000037	OM037668.1_00045	MN562489.1_00092
OG0000038	OM037668.1_00040	MN562489.1_00097
OG0000039	OM037668.1_00048	MN562489.1_00089
OG0000040	OM037668.1_00003	MN562489.1_00134
OG0000041	OM037668.1_00122	MN562489.1_00013
OG0000042	OM037668.1_00106	MN562489.1_00030
OG0000043	OM037668.1_00105	MN562489.1_00031
OG0000044	OM037668.1_00100	MN562489.1_00036
OG0000045	OM037668.1_00099	MN562489.1_00037
OG0000046	OM037668.1_00097	MN562489.1_00039
OG0000047	OM037668.1_00085	MN562489.1_00051
OG0000048	OM037668.1_00096	MN562489.1_00040
OG0000049	OM037668.1_00020	MN562489.1_00117
OG0000050	OM037668.1_00018	MN562489.1_00119
OG0000051	OM037668.1_00130	MN562489.1_00005
OG0000052	OM037668.1_00081	MN562489.1_00055
OG0000053	OM037668.1_00032	MN562489.1_00105
OG0000054	OM037668.1_00033	MN562489.1_00104
OG0000055	OM037668.1_00075	MN562489.1_00061
OG0000056	OM037668.1_00079	MN562489.1_00057
OG0000057	OM037668.1_00134	MN562489.1_00001
OG0000058	OM037668.1_00031	MN562489.1_00106
OG0000059	OM037668.1_00054	MN562489.1_00083
OG0000060	OM037668.1_00047	MN562489.1_00090
OG0000061	OM037668.1_00083	MN562489.1_00053
OG0000062	OM037668.1_00064	MN562489.1_00073
OG0000096	OM037668.1_00091	MN562489.1_00045
OG0000113	OM037668.1_00042	MN562489.1_00095
OG0000114	OM037668.1_00053	MN562489.1_00084
OG0000115	OM037668.1_00101	MN562489.1_00035
OG0000117	OM037668.1_00082	MN562489.1_00054
OG0000128	OM037668.1_00131	MN562489.1_00004
OG0000128	OM037668.1_00066	MN562489.1_00071
OG0000128	OM037668.1_00132	MN562489.1_00003
OG0000129	OM037668.1_00062	MN562489.1_00075
OG0000136	OM037668.1_00126	MN562489.1_00009
OG0000136	OM037668.1_00067	MN562489.1_00070
OG0000143	OM037668.1_00121	MN562489.1_00014
OG0000143	OM037668.1_00128	MN562489.1_00007
OG0000144	OM037668.1_00015	MN562489.1_00122
OG0000144	OM037668.1_00071	MN562489.1_00066
OG0000146	OM037668.1_00001	MN562489.1_00136
OG0000149	OM037668.1_00068	MN562489.1_00069
OG0000156	OM037668.1_00036	MN562489.1_00101
OG0000187	OM037668.1_00022	MN562489.1_00115
OG0000188	OM037668.1_00017	MN562489.1_00120
OG0000189	OM037668.1_00023	MN562489.1_00114
OG0000190	OM037668.1_00088	MN562489.1_00048
OG0000191	OM037668.1_00063	MN562489.1_00074
OG0000224	OM037668.1_00129	MN562489.1_00006
OG0000225	OM037668.1_00114	MN562489.1_00021
OG0000226	OM037668.1_00112	MN562489.1_00024
OG0000227	OM037668.1_00111	MN562489.1_00025
