Orthogroup	OM037668.1	AF371960.1
OG0000000	OM037668.1_00035	AF371960.1_00031
OG0000001	OM037668.1_00057	AF371960.1_00007
OG0000002	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006	AF371960.1_00079
OG0000003	OM037668.1_00056	AF371960.1_00008
OG0000004	OM037668.1_00050	AF371960.1_00015
OG0000005	OM037668.1_00038	AF371960.1_00030
OG0000006	OM037668.1_00021	AF371960.1_00078
OG0000007	OM037668.1_00084	AF371960.1_00092
OG0000008	OM037668.1_00076	AF371960.1_00112
OG0000009	OM037668.1_00077	AF371960.1_00113
OG0000010	OM037668.1_00013	AF371960.1_00005
OG0000011	OM037668.1_00041	AF371960.1_00021
OG0000012	OM037668.1_00123	AF371960.1_00032
OG0000013	OM037668.1_00124	AF371960.1_00034
OG0000014	OM037668.1_00127	AF371960.1_00036
OG0000015	OM037668.1_00098	AF371960.1_00057
OG0000016	OM037668.1_00009	AF371960.1_00064
OG0000017	OM037668.1_00090	AF371960.1_00088
OG0000018	OM037668.1_00089	AF371960.1_00089
OG0000019	OM037668.1_00073	AF371960.1_00107
OG0000020	OM037668.1_00078	AF371960.1_00121
OG0000021	OM037668.1_00004	AF371960.1_00122
OG0000022	OM037668.1_00113	AF371960.1_00045
OG0000023	OM037668.1_00080	AF371960.1_00096
OG0000024	OM037668.1_00074	AF371960.1_00110
OG0000025	OM037668.1_00024	AF371960.1_00065
OG0000026	OM037668.1_00087	AF371960.1_00090
OG0000027	OM037668.1_00110	AF371960.1_00048
OG0000028	OM037668.1_00011	AF371960.1_00006
OG0000029	OM037668.1_00095	AF371960.1_00062
OG0000030	OM037668.1_00030	AF371960.1_00001
OG0000031	OM037668.1_00019	AF371960.1_00082
OG0000032	OM037668.1_00086	AF371960.1_00091
OG0000033	OM037668.1_00028	AF371960.1_00123
OG0000034	OM037668.1_00051	AF371960.1_00013
OG0000035	OM037668.1_00005	AF371960.1_00014
OG0000036	OM037668.1_00046	AF371960.1_00019
OG0000037	OM037668.1_00045	AF371960.1_00020
OG0000038	OM037668.1_00040	AF371960.1_00022
OG0000039	OM037668.1_00048	AF371960.1_00023
OG0000040	OM037668.1_00003	AF371960.1_00033
OG0000041	OM037668.1_00122	AF371960.1_00037
OG0000042	OM037668.1_00106	AF371960.1_00049
OG0000043	OM037668.1_00105	AF371960.1_00050
OG0000044	OM037668.1_00100	AF371960.1_00055
OG0000045	OM037668.1_00099	AF371960.1_00056
OG0000046	OM037668.1_00097	AF371960.1_00058
OG0000047	OM037668.1_00085	AF371960.1_00060
OG0000048	OM037668.1_00096	AF371960.1_00061
OG0000049	OM037668.1_00020	AF371960.1_00080
OG0000050	OM037668.1_00018	AF371960.1_00083
OG0000051	OM037668.1_00130	AF371960.1_00084
OG0000052	OM037668.1_00081	AF371960.1_00095
OG0000053	OM037668.1_00032	AF371960.1_00097
OG0000054	OM037668.1_00033	AF371960.1_00100
OG0000055	OM037668.1_00075	AF371960.1_00111
OG0000056	OM037668.1_00079	AF371960.1_00115
OG0000057	OM037668.1_00134	AF371960.1_00117
OG0000058	OM037668.1_00031	AF371960.1_00002
OG0000059	OM037668.1_00054	AF371960.1_00010
OG0000060	OM037668.1_00047	AF371960.1_00018
OG0000061	OM037668.1_00083	AF371960.1_00093
OG0000062	OM037668.1_00064	AF371960.1_00027
OG0000096	OM037668.1_00091	AF371960.1_00119
OG0000114	OM037668.1_00053	AF371960.1_00011
OG0000115	OM037668.1_00101	AF371960.1_00054
OG0000117	OM037668.1_00082	AF371960.1_00094
OG0000129	OM037668.1_00062	AF371960.1_00074
