Orthogroup	OM037668.1	MF599468.1
OG0000000	OM037668.1_00035	MF599468.1_00057, MF599468.1_00056
OG0000001	OM037668.1_00057	MF599468.1_00152
OG0000003	OM037668.1_00056	MF599468.1_00163
OG0000004	OM037668.1_00050	MF599468.1_00011
OG0000005	OM037668.1_00038	MF599468.1_00030
OG0000006	OM037668.1_00021	MF599468.1_00010
OG0000007	OM037668.1_00084	MF599468.1_00174
OG0000008	OM037668.1_00076	MF599468.1_00092
OG0000009	OM037668.1_00077	MF599468.1_00075
OG0000010	OM037668.1_00013	MF599468.1_00116
OG0000011	OM037668.1_00041	MF599468.1_00112
OG0000012	OM037668.1_00123	MF599468.1_00090
OG0000013	OM037668.1_00124	MF599468.1_00035
OG0000014	OM037668.1_00127	MF599468.1_00071
OG0000015	OM037668.1_00098	MF599468.1_00033
OG0000016	OM037668.1_00009	MF599468.1_00149
OG0000017	OM037668.1_00090	MF599468.1_00106
OG0000018	OM037668.1_00089	MF599468.1_00046
OG0000019	OM037668.1_00073	MF599468.1_00117
OG0000020	OM037668.1_00078	MF599468.1_00122
OG0000021	OM037668.1_00004	MF599468.1_00009
OG0000022	OM037668.1_00113	MF599468.1_00171
OG0000023	OM037668.1_00080	MF599468.1_00154
OG0000024	OM037668.1_00074	MF599468.1_00039
OG0000046	OM037668.1_00097	MF599468.1_00013
OG0000189	OM037668.1_00023	MF599468.1_00098
