Orthogroup	OM037668.1	BD143114.1
OG0000000	OM037668.1_00035	BD143114.1_00045
OG0000001	OM037668.1_00057	BD143114.1_00068
OG0000002	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006	BD143114.1_00123
OG0000003	OM037668.1_00056	BD143114.1_00067
OG0000004	OM037668.1_00050	BD143114.1_00060
OG0000005	OM037668.1_00038	BD143114.1_00046
OG0000006	OM037668.1_00021	BD143114.1_00001
OG0000007	OM037668.1_00084	BD143114.1_00109
OG0000008	OM037668.1_00076	BD143114.1_00087
OG0000009	OM037668.1_00077	BD143114.1_00085
OG0000010	OM037668.1_00013	BD143114.1_00070
OG0000011	OM037668.1_00041	BD143114.1_00053
OG0000012	OM037668.1_00123	BD143114.1_00044
OG0000013	OM037668.1_00124	BD143114.1_00042
OG0000014	OM037668.1_00127	BD143114.1_00040
OG0000015	OM037668.1_00098	BD143114.1_00019
OG0000016	OM037668.1_00009	BD143114.1_00013
OG0000017	OM037668.1_00090	BD143114.1_00114
OG0000018	OM037668.1_00089	BD143114.1_00113
OG0000019	OM037668.1_00073	BD143114.1_00092
OG0000020	OM037668.1_00078	BD143114.1_00077
OG0000021	OM037668.1_00004	BD143114.1_00076
OG0000022	OM037668.1_00113	BD143114.1_00031
OG0000023	OM037668.1_00080	BD143114.1_00104
OG0000024	OM037668.1_00074	BD143114.1_00089
OG0000025	OM037668.1_00024	BD143114.1_00012
OG0000026	OM037668.1_00087	BD143114.1_00112
OG0000027	OM037668.1_00110	BD143114.1_00028
OG0000028	OM037668.1_00011	BD143114.1_00069
OG0000029	OM037668.1_00095	BD143114.1_00015
OG0000030	OM037668.1_00030	BD143114.1_00073
OG0000031	OM037668.1_00019	BD143114.1_00119
OG0000032	OM037668.1_00086	BD143114.1_00110, BD143114.1_00111
OG0000033	OM037668.1_00028	BD143114.1_00074, BD143114.1_00075
OG0000034	OM037668.1_00051	BD143114.1_00062
OG0000035	OM037668.1_00005	BD143114.1_00061
OG0000036	OM037668.1_00046	BD143114.1_00056
OG0000037	OM037668.1_00045	BD143114.1_00055
OG0000038	OM037668.1_00040	BD143114.1_00052
OG0000039	OM037668.1_00048	BD143114.1_00051
OG0000040	OM037668.1_00003	BD143114.1_00043
OG0000041	OM037668.1_00122	BD143114.1_00039
OG0000042	OM037668.1_00106	BD143114.1_00027
OG0000043	OM037668.1_00105	BD143114.1_00026
OG0000044	OM037668.1_00100	BD143114.1_00021
OG0000045	OM037668.1_00099	BD143114.1_00020
OG0000046	OM037668.1_00097	BD143114.1_00018
OG0000047	OM037668.1_00085	BD143114.1_00017
OG0000048	OM037668.1_00096	BD143114.1_00016
OG0000049	OM037668.1_00020	BD143114.1_00122
OG0000050	OM037668.1_00018	BD143114.1_00118
OG0000051	OM037668.1_00130	BD143114.1_00117
OG0000052	OM037668.1_00081	BD143114.1_00105
OG0000053	OM037668.1_00032	BD143114.1_00103
OG0000054	OM037668.1_00033	BD143114.1_00100
OG0000055	OM037668.1_00075	BD143114.1_00088
OG0000056	OM037668.1_00079	BD143114.1_00083
OG0000057	OM037668.1_00134	BD143114.1_00081
OG0000058	OM037668.1_00031	BD143114.1_00072
OG0000059	OM037668.1_00054	BD143114.1_00065
OG0000060	OM037668.1_00047	BD143114.1_00057
OG0000061	OM037668.1_00083	BD143114.1_00108
OG0000062	OM037668.1_00064	BD143114.1_00049
OG0000096	OM037668.1_00091	BD143114.1_00079
OG0000113	OM037668.1_00042	BD143114.1_00054
OG0000114	OM037668.1_00053	BD143114.1_00064
OG0000115	OM037668.1_00101	BD143114.1_00022
OG0000117	OM037668.1_00082	BD143114.1_00107
