Orthogroup	Lymph_LDV1_L63545.1	MCV_MP1_RBIV_AY532606.1
OG0000000	Lymph_LDV1_L63545.1_00007	MCV_MP1_RBIV_AY532606.1_00030
OG0000001	Lymph_LDV1_L63545.1_00079	MCV_MP1_RBIV_AY532606.1_00006
OG0000002	Lymph_LDV1_L63545.1_00035	MCV_MP1_RBIV_AY532606.1_00007
OG0000003	Lymph_LDV1_L63545.1_00076	MCV_MP1_RBIV_AY532606.1_00014
OG0000004	Lymph_LDV1_L63545.1_00001	MCV_MP1_RBIV_AY532606.1_00116, MCV_MP1_RBIV_AY532606.1_00117
OG0000005	Lymph_LDV1_L63545.1_00090	MCV_MP1_RBIV_AY532606.1_00093
OG0000006	Lymph_LDV1_L63545.1_00108	MCV_MP1_RBIV_AY532606.1_00029
OG0000007	Lymph_LDV1_L63545.1_00093	MCV_MP1_RBIV_AY532606.1_00078
OG0000008	Lymph_LDV1_L63545.1_00024	MCV_MP1_RBIV_AY532606.1_00120, MCV_MP1_RBIV_AY532606.1_00119
OG0000009	Lymph_LDV1_L63545.1_00056	MCV_MP1_RBIV_AY532606.1_00099, MCV_MP1_RBIV_AY532606.1_00098
OG0000011	Lymph_LDV1_L63545.1_00009	MCV_MP1_RBIV_AY532606.1_00088
OG0000012	Lymph_LDV1_L63545.1_00013	MCV_MP1_RBIV_AY532606.1_00035
OG0000013	Lymph_LDV1_L63545.1_00068	MCV_MP1_RBIV_AY532606.1_00111
OG0000014	Lymph_LDV1_L63545.1_00073	MCV_MP1_RBIV_AY532606.1_00089
OG0000015	Lymph_LDV1_L63545.1_00098	MCV_MP1_RBIV_AY532606.1_00031
OG0000016	Lymph_LDV1_L63545.1_00071	MCV_MP1_RBIV_AY532606.1_00020
OG0000017	Lymph_LDV1_L63545.1_00004	MCV_MP1_RBIV_AY532606.1_00057
OG0000018	Lymph_LDV1_L63545.1_00030	MCV_MP1_RBIV_AY532606.1_00125
OG0000019	Lymph_LDV1_L63545.1_00069	MCV_MP1_RBIV_AY532606.1_00064
OG0000020	Lymph_LDV1_L63545.1_00110	MCV_MP1_RBIV_AY532606.1_00126
OG0000021	Lymph_LDV1_L63545.1_00072	MCV_MP1_RBIV_AY532606.1_00033
OG0000022	Lymph_LDV1_L63545.1_00043	MCV_MP1_RBIV_AY532606.1_00004
OG0000024	Lymph_LDV1_L63545.1_00015	MCV_MP1_RBIV_AY532606.1_00026
OG0000026	Lymph_LDV1_L63545.1_00002	MCV_MP1_RBIV_AY532606.1_00114
OG0000027	Lymph_LDV1_L63545.1_00058	MCV_MP1_RBIV_AY532606.1_00090
OG0000028	Lymph_LDV1_L63545.1_00003	MCV_MP1_RBIV_AY532606.1_00047
