Orthogroup	Lymph_LDV1_L63545.1	Rana_FV3_NC_005946.1
OG0000000	Lymph_LDV1_L63545.1_00007	Rana_FV3_NC_005946.1_00010
OG0000001	Lymph_LDV1_L63545.1_00079	Rana_FV3_NC_005946.1_00091
OG0000002	Lymph_LDV1_L63545.1_00035	Rana_FV3_NC_005946.1_00053
OG0000003	Lymph_LDV1_L63545.1_00076	Rana_FV3_NC_005946.1_00057
OG0000004	Lymph_LDV1_L63545.1_00001	Rana_FV3_NC_005946.1_00028
OG0000005	Lymph_LDV1_L63545.1_00090	Rana_FV3_NC_005946.1_00002
OG0000006	Lymph_LDV1_L63545.1_00108	Rana_FV3_NC_005946.1_00095
OG0000007	Lymph_LDV1_L63545.1_00093	Rana_FV3_NC_005946.1_00042
OG0000008	Lymph_LDV1_L63545.1_00024	Rana_FV3_NC_005946.1_00092
OG0000009	Lymph_LDV1_L63545.1_00056	Rana_FV3_NC_005946.1_00014
OG0000011	Lymph_LDV1_L63545.1_00009	Rana_FV3_NC_005946.1_00094
OG0000012	Lymph_LDV1_L63545.1_00013	Rana_FV3_NC_005946.1_00061
OG0000013	Lymph_LDV1_L63545.1_00068	Rana_FV3_NC_005946.1_00023
OG0000014	Lymph_LDV1_L63545.1_00073	Rana_FV3_NC_005946.1_00082
OG0000015	Lymph_LDV1_L63545.1_00098	Rana_FV3_NC_005946.1_00083
OG0000016	Lymph_LDV1_L63545.1_00071	Rana_FV3_NC_005946.1_00060
OG0000017	Lymph_LDV1_L63545.1_00004	Rana_FV3_NC_005946.1_00022
OG0000018	Lymph_LDV1_L63545.1_00030	Rana_FV3_NC_005946.1_00016
OG0000019	Lymph_LDV1_L63545.1_00069	Rana_FV3_NC_005946.1_00011
OG0000020	Lymph_LDV1_L63545.1_00110	Rana_FV3_NC_005946.1_00021
OG0000021	Lymph_LDV1_L63545.1_00072	Rana_FV3_NC_005946.1_00087
OG0000022	Lymph_LDV1_L63545.1_00043	Rana_FV3_NC_005946.1_00038
OG0000023	Lymph_LDV1_L63545.1_00054	Rana_FV3_NC_005946.1_00089
OG0000024	Lymph_LDV1_L63545.1_00015	Rana_FV3_NC_005946.1_00067
OG0000026	Lymph_LDV1_L63545.1_00002	Rana_FV3_NC_005946.1_00086
OG0000027	Lymph_LDV1_L63545.1_00058	Rana_FV3_NC_005946.1_00049
OG0000028	Lymph_LDV1_L63545.1_00003	Rana_FV3_NC_005946.1_00085
OG0000113	Lymph_LDV1_L63545.1_00042	Rana_FV3_NC_005946.1_00020
OG0000133	Lymph_LDV1_L63545.1_00016	Rana_FV3_NC_005946.1_00079
OG0000134	Lymph_LDV1_L63545.1_00092	Rana_FV3_NC_005946.1_00001
OG0000137	Lymph_LDV1_L63545.1_00100	Rana_FV3_NC_005946.1_00039
OG0000150	Lymph_LDV1_L63545.1_00085	Rana_FV3_NC_005946.1_00052
OG0000152	Lymph_LDV1_L63545.1_00018	Rana_FV3_NC_005946.1_00044
OG0000160	Lymph_LDV1_L63545.1_00055	Rana_FV3_NC_005946.1_00075
OG0000165	Lymph_LDV1_L63545.1_00048	Rana_FV3_NC_005946.1_00029
OG0000166	Lymph_LDV1_L63545.1_00066	Rana_FV3_NC_005946.1_00026
OG0000177	Lymph_LDV1_L63545.1_00091	Rana_FV3_NC_005946.1_00033
OG0000205	Lymph_LDV1_L63545.1_00106	Rana_FV3_NC_005946.1_00062
OG0000234	Lymph_LDV1_L63545.1_00021	Rana_FV3_NC_005946.1_00088
OG0000235	Lymph_LDV1_L63545.1_00109	Rana_FV3_NC_005946.1_00096
OG0000237	Lymph_LDV1_L63545.1_00032	Rana_FV3_NC_005946.1_00073
OG0000238	Lymph_LDV1_L63545.1_00025	Rana_FV3_NC_005946.1_00051
OG0000239	Lymph_LDV1_L63545.1_00022	Rana_FV3_NC_005946.1_00015
OG0000299	Lymph_LDV1_L63545.1_00061	Rana_FV3_NC_005946.1_00034
