Orthogroup	OK042109.1	LS484712.1
OG0000000	OK042109.1_00047	LS484712.1_00114
OG0000001	OK042109.1_00068	LS484712.1_00095
OG0000002	OK042109.1_00069	LS484712.1_00142
OG0000003	OK042109.1_00061	LS484712.1_00187
OG0000005	OK042109.1_00105	LS484712.1_00256
OG0000006	OK042109.1_00001	LS484712.1_00040
OG0000007	OK042109.1_00110	LS484712.1_00234, LS484712.1_00050
OG0000008	OK042109.1_00048	LS484712.1_00248
OG0000009	OK042109.1_00086	LS484712.1_00130
OG0000011	OK042109.1_00013	LS484712.1_00203
OG0000012	OK042109.1_00054	LS484712.1_00200
OG0000013	OK042109.1_00020	LS484712.1_00143
OG0000014	OK042109.1_00078	LS484712.1_00202
OG0000015	OK042109.1_00077	LS484712.1_00135
OG0000016	OK042109.1_00113	LS484712.1_00048
OG0000017	OK042109.1_00044	LS484712.1_00240
OG0000018	OK042109.1_00093	LS484712.1_00053
OG0000019	OK042109.1_00114	LS484712.1_00192
OG0000020	OK042109.1_00046	LS484712.1_00188
OG0000021	OK042109.1_00071	LS484712.1_00096
OG0000022	OK042109.1_00042	LS484712.1_00194
OG0000023	OK042109.1_00033	LS484712.1_00117
OG0000024	OK042109.1_00051	LS484712.1_00149
OG0000068	OK042109.1_00010	LS484712.1_00002
