Orthogroup	OK042109.1	HF920633.1
OG0000000	OK042109.1_00047	HF920633.1_00044
OG0000001	OK042109.1_00068	HF920633.1_00069
OG0000002	OK042109.1_00069	HF920633.1_00073
OG0000003	OK042109.1_00061	HF920633.1_00127
OG0000004	OK042109.1_00088	HF920633.1_00079
OG0000005	OK042109.1_00105	HF920633.1_00085
OG0000006	OK042109.1_00001	HF920633.1_00025
OG0000007	OK042109.1_00110	HF920633.1_00091
OG0000008	OK042109.1_00048	HF920633.1_00043
OG0000009	OK042109.1_00086	HF920633.1_00122
OG0000011	OK042109.1_00013	HF920633.1_00118
OG0000012	OK042109.1_00054	HF920633.1_00001
OG0000013	OK042109.1_00020	HF920633.1_00067
OG0000014	OK042109.1_00078	HF920633.1_00138
OG0000015	OK042109.1_00077	HF920633.1_00058
OG0000016	OK042109.1_00113	HF920633.1_00094
OG0000017	OK042109.1_00044	HF920633.1_00158
OG0000018	OK042109.1_00093	HF920633.1_00003
OG0000019	OK042109.1_00114	HF920633.1_00163
OG0000020	OK042109.1_00046	HF920633.1_00080
OG0000021	OK042109.1_00071	HF920633.1_00097
OG0000022	OK042109.1_00042	HF920633.1_00175
OG0000023	OK042109.1_00033	HF920633.1_00017
OG0000024	OK042109.1_00051	HF920633.1_00062
