Orthogroup	MT926123	AY521625
OG0000000	AF371960.1_00031 hypothetical protein	AY521625.1_00091 AY521625.1 - hypothetical protein translation
OG0000001	AF371960.1_00008 hypothetical protein	AY521625.1_00077 AY521625.1 - hypothetical protein translation
OG0000002	AF371960.1_00015 hypothetical protein	AY521625.1_00130 AY521625.1 - hypothetical protein translation
OG0000003	AF371960.1_00030 hypothetical protein	AY521625.1_00085 AY521625.1 - hypothetical protein translation
OG0000004	AF371960.1_00005 hypothetical protein	AY521625.1_00054 AY521625.1 - hypothetical protein translation
OG0000005	AF371960.1_00007 Major capsid protein	AY521625.1_00064 AY521625.1 - Major capsid protein translation
OG0000006	AF371960.1_00021 hypothetical protein	AY521625.1_00110 AY521625.1 - hypothetical protein translation
OG0000007	AF371960.1_00032 hypothetical protein	AY521625.1_00074 AY521625.1 - hypothetical protein translation
OG0000008	AF371960.1_00034 hypothetical protein	AY521625.1_00059 AY521625.1 - hypothetical protein translation
OG0000009	AF371960.1_00036 DNA-directed RNA polymerase subunit 2	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	AF371960.1_00057 hypothetical protein	AY521625.1_00048 AY521625.1 - hypothetical protein translation
OG0000011	AF371960.1_00064 hypothetical protein	AY521625.1_00053 AY521625.1 - hypothetical protein translation
OG0000012	AF371960.1_00088 hypothetical protein	AY521625.1_00086 AY521625.1 - hypothetical protein translation
OG0000013	AF371960.1_00092 hypothetical protein	AY521625.1_00016 AY521625.1 - hypothetical protein translation
OG0000014	AF371960.1_00107 hypothetical protein	AY521625.1_00047 AY521625.1 - hypothetical protein translation
OG0000015	AF371960.1_00121 hypothetical protein	AY521625.1_00115 AY521625.1 - hypothetical protein translation
OG0000016	AF371960.1_00122 hypothetical protein	AY521625.1_00035 AY521625.1 - hypothetical protein translation
OG0000017	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	AY521625.1_00042 AY521625.1 - hypothetical protein translation
OG0000018	AF371960.1_00078 hypothetical protein	AY521625.1_00051 AY521625.1 - hypothetical protein translation
OG0000019	AF371960.1_00089 hypothetical protein	AY521625.1_00073 AY521625.1 - hypothetical protein translation
OG0000020	AF371960.1_00096 hypothetical protein	AY521625.1_00100 AY521625.1 - hypothetical protein translation
OG0000021	AF371960.1_00112 hypothetical protein	AY521625.1_00069 AY521625.1 - hypothetical protein translation
OG0000022	AF371960.1_00045 hypothetical protein	AY521625.1_00062 AY521625.1 - hypothetical protein translation
OG0000025	AF371960.1_00090 hypothetical protein	AY521625.1_00022 AY521625.1 - hypothetical protein translation
OG0000026	AF371960.1_00110 hypothetical protein	AY521625.1_00060 AY521625.1 - hypothetical protein translation
OG0000030	AF371960.1_00001 hypothetical protein	AY521625.1_00004 AY521625.1 - hypothetical protein translation
