Orthogroup	NC_005946.1	AF303741.1
OG0000000	NC_005946.1_00010	AF303741.1_00079, AF303741.1_00152
OG0000001	NC_005946.1_00053	AF303741.1_00200, AF303741.1_00047
OG0000002	NC_005946.1_00091	AF303741.1_00125
OG0000003	NC_005946.1_00057	AF303741.1_00035
OG0000004	NC_005946.1_00028	AF303741.1_00080
OG0000005	NC_005946.1_00014	AF303741.1_00129
OG0000006	NC_005946.1_00042	AF303741.1_00132
OG0000007	NC_005946.1_00002	AF303741.1_00149
OG0000008	NC_005946.1_00095	AF303741.1_00165
OG0000009	NC_005946.1_00092	AF303741.1_00176
OG0000011	NC_005946.1_00011	AF303741.1_00006
OG0000012	NC_005946.1_00060	AF303741.1_00011
OG0000013	NC_005946.1_00022	AF303741.1_00023
OG0000014	NC_005946.1_00016	AF303741.1_00026
OG0000015	NC_005946.1_00021	AF303741.1_00046
OG0000016	NC_005946.1_00082	AF303741.1_00062
OG0000017	NC_005946.1_00087	AF303741.1_00063
OG0000018	NC_005946.1_00023	AF303741.1_00081
OG0000019	NC_005946.1_00094	AF303741.1_00137
OG0000020	NC_005946.1_00083	AF303741.1_00156
OG0000021	NC_005946.1_00038	AF303741.1_00158
OG0000022	NC_005946.1_00061	AF303741.1_00189
OG0000023	NC_005946.1_00089	AF303741.1_00154
OG0000024	NC_005946.1_00067	AF303741.1_00168
OG0000113	NC_005946.1_00020	AF303741.1_00169
OG0000134	NC_005946.1_00001	AF303741.1_00126
OG0000135	NC_005946.1_00079	AF303741.1_00157
OG0000137	NC_005946.1_00039	AF303741.1_00031
OG0000148	NC_005946.1_00054	AF303741.1_00072
OG0000156	NC_005946.1_00063	AF303741.1_00192
OG0000172	NC_005946.1_00004	AF303741.1_00105
