Orthogroup	NC_005946.1	ON075463.1
OG0000000	NC_005946.1_00010	ON075463.1_00029
OG0000001	NC_005946.1_00053	ON075463.1_00008
OG0000002	NC_005946.1_00091	ON075463.1_00007
OG0000003	NC_005946.1_00057	ON075463.1_00014
OG0000004	NC_005946.1_00028	ON075463.1_00109
OG0000005	NC_005946.1_00014	ON075463.1_00092
OG0000006	NC_005946.1_00042	ON075463.1_00073
OG0000007	NC_005946.1_00002	ON075463.1_00087
OG0000008	NC_005946.1_00095	ON075463.1_00028
OG0000009	NC_005946.1_00092	ON075463.1_00111
OG0000011	NC_005946.1_00011	ON075463.1_00061
OG0000012	NC_005946.1_00060	ON075463.1_00021
OG0000013	NC_005946.1_00022	ON075463.1_00055
OG0000014	NC_005946.1_00016	ON075463.1_00118
OG0000015	NC_005946.1_00021	ON075463.1_00119
OG0000016	NC_005946.1_00082	ON075463.1_00084
OG0000017	NC_005946.1_00087	ON075463.1_00032
OG0000018	NC_005946.1_00023	ON075463.1_00104
OG0000019	NC_005946.1_00094	ON075463.1_00083
OG0000020	NC_005946.1_00083	ON075463.1_00030
OG0000021	NC_005946.1_00038	ON075463.1_00005
OG0000022	NC_005946.1_00061	ON075463.1_00034
OG0000023	NC_005946.1_00089	ON075463.1_00043
OG0000024	NC_005946.1_00067	ON075463.1_00025
OG0000026	NC_005946.1_00086	ON075463.1_00107
OG0000027	NC_005946.1_00049	ON075463.1_00085
OG0000028	NC_005946.1_00085	ON075463.1_00046
OG0000112	NC_005946.1_00006	ON075463.1_00077
