Orthogroup	NC_005946.1	MN432490.1
OG0000000	NC_005946.1_00010	MN432490.1_00032
OG0000001	NC_005946.1_00053	MN432490.1_00008
OG0000002	NC_005946.1_00091	MN432490.1_00007
OG0000003	NC_005946.1_00057	MN432490.1_00015
OG0000004	NC_005946.1_00028	MN432490.1_00113
OG0000005	NC_005946.1_00014	MN432490.1_00097
OG0000006	NC_005946.1_00042	MN432490.1_00078
OG0000007	NC_005946.1_00002	MN432490.1_00092
OG0000008	NC_005946.1_00095	MN432490.1_00031
OG0000009	NC_005946.1_00092	MN432490.1_00114
OG0000011	NC_005946.1_00011	MN432490.1_00064
OG0000012	NC_005946.1_00060	MN432490.1_00023
OG0000013	NC_005946.1_00022	MN432490.1_00058
OG0000014	NC_005946.1_00016	MN432490.1_00122
OG0000015	NC_005946.1_00021	MN432490.1_00123
OG0000016	NC_005946.1_00082	MN432490.1_00089
OG0000017	NC_005946.1_00087	MN432490.1_00035
OG0000018	NC_005946.1_00023	MN432490.1_00108
OG0000019	NC_005946.1_00094	MN432490.1_00088
OG0000020	NC_005946.1_00083	MN432490.1_00033
OG0000021	NC_005946.1_00038	MN432490.1_00005
OG0000022	NC_005946.1_00061	MN432490.1_00037
OG0000023	NC_005946.1_00089	MN432490.1_00046
OG0000024	NC_005946.1_00067	MN432490.1_00028
OG0000026	NC_005946.1_00086	MN432490.1_00111
OG0000027	NC_005946.1_00049	MN432490.1_00090
OG0000028	NC_005946.1_00085	MN432490.1_00049
OG0000112	NC_005946.1_00006	MN432490.1_00082
