Orthogroup	NC_005946.1	OQ475017.1
OG0000000	NC_005946.1_00010	OQ475017.1_00030
OG0000001	NC_005946.1_00053	OQ475017.1_00008
OG0000002	NC_005946.1_00091	OQ475017.1_00007
OG0000003	NC_005946.1_00057	OQ475017.1_00015
OG0000004	NC_005946.1_00028	OQ475017.1_00110
OG0000005	NC_005946.1_00014	OQ475017.1_00093
OG0000006	NC_005946.1_00042	OQ475017.1_00073
OG0000007	NC_005946.1_00002	OQ475017.1_00087
OG0000008	NC_005946.1_00095	OQ475017.1_00029
OG0000009	NC_005946.1_00092	OQ475017.1_00112
OG0000011	NC_005946.1_00011	OQ475017.1_00062
OG0000012	NC_005946.1_00060	OQ475017.1_00022
OG0000013	NC_005946.1_00022	OQ475017.1_00056
OG0000014	NC_005946.1_00016	OQ475017.1_00120
OG0000015	NC_005946.1_00021	OQ475017.1_00121
OG0000016	NC_005946.1_00082	OQ475017.1_00084
OG0000017	NC_005946.1_00087	OQ475017.1_00033
OG0000018	NC_005946.1_00023	OQ475017.1_00105
OG0000019	NC_005946.1_00094	OQ475017.1_00083
OG0000020	NC_005946.1_00083	OQ475017.1_00031
OG0000021	NC_005946.1_00038	OQ475017.1_00005
OG0000022	NC_005946.1_00061	OQ475017.1_00035
OG0000023	NC_005946.1_00089	OQ475017.1_00044
OG0000024	NC_005946.1_00067	OQ475017.1_00027
OG0000026	NC_005946.1_00086	OQ475017.1_00108
OG0000027	NC_005946.1_00049	OQ475017.1_00085
OG0000028	NC_005946.1_00085	OQ475017.1_00047
OG0000112	NC_005946.1_00006	OQ475017.1_00077
