Orthogroup	NC_005946.1	HF920633.1
OG0000000	NC_005946.1_00010	HF920633.1_00044
OG0000001	NC_005946.1_00053	HF920633.1_00069
OG0000002	NC_005946.1_00091	HF920633.1_00073
OG0000003	NC_005946.1_00057	HF920633.1_00127
OG0000004	NC_005946.1_00028	HF920633.1_00079
OG0000005	NC_005946.1_00014	HF920633.1_00085
OG0000006	NC_005946.1_00042	HF920633.1_00025
OG0000007	NC_005946.1_00002	HF920633.1_00091
OG0000008	NC_005946.1_00095	HF920633.1_00043
OG0000009	NC_005946.1_00092	HF920633.1_00122
OG0000011	NC_005946.1_00011	HF920633.1_00118
OG0000012	NC_005946.1_00060	HF920633.1_00001
OG0000013	NC_005946.1_00022	HF920633.1_00067
OG0000014	NC_005946.1_00016	HF920633.1_00138
OG0000015	NC_005946.1_00021	HF920633.1_00058
OG0000016	NC_005946.1_00082	HF920633.1_00094
OG0000017	NC_005946.1_00087	HF920633.1_00158
OG0000018	NC_005946.1_00023	HF920633.1_00003
OG0000019	NC_005946.1_00094	HF920633.1_00163
OG0000020	NC_005946.1_00083	HF920633.1_00080
OG0000021	NC_005946.1_00038	HF920633.1_00097
OG0000022	NC_005946.1_00061	HF920633.1_00175
OG0000023	NC_005946.1_00089	HF920633.1_00017
OG0000024	NC_005946.1_00067	HF920633.1_00062
OG0000113	NC_005946.1_00020	HF920633.1_00145
OG0000134	NC_005946.1_00001	HF920633.1_00135
OG0000135	NC_005946.1_00079	HF920633.1_00064
OG0000137	NC_005946.1_00039	HF920633.1_00132
OG0000148	NC_005946.1_00054	HF920633.1_00026
OG0000156	NC_005946.1_00063	HF920633.1_00106
OG0000158	NC_005946.1_00044	HF920633.1_00024
OG0000172	NC_005946.1_00004	HF920633.1_00144
OG0000176	NC_005946.1_00026	HF920633.1_00171
OG0000178	NC_005946.1_00029	HF920633.1_00034
