Orthogroup	NC_005946.1	OP009387.1
OG0000000	NC_005946.1_00010	OP009387.1_00030
OG0000001	NC_005946.1_00053	OP009387.1_00008
OG0000002	NC_005946.1_00091	OP009387.1_00007
OG0000003	NC_005946.1_00057	OP009387.1_00015
OG0000004	NC_005946.1_00028	OP009387.1_00112
OG0000005	NC_005946.1_00014	OP009387.1_00095
OG0000006	NC_005946.1_00042	OP009387.1_00077
OG0000007	NC_005946.1_00002	OP009387.1_00091
OG0000008	NC_005946.1_00095	OP009387.1_00029
OG0000009	NC_005946.1_00092	OP009387.1_00113
OG0000011	NC_005946.1_00011	OP009387.1_00064
OG0000012	NC_005946.1_00060	OP009387.1_00023
OG0000013	NC_005946.1_00022	OP009387.1_00057
OG0000014	NC_005946.1_00016	OP009387.1_00121
OG0000015	NC_005946.1_00021	OP009387.1_00122
OG0000016	NC_005946.1_00082	OP009387.1_00088
OG0000017	NC_005946.1_00087	OP009387.1_00033
OG0000018	NC_005946.1_00023	OP009387.1_00107
OG0000019	NC_005946.1_00094	OP009387.1_00087
OG0000020	NC_005946.1_00083	OP009387.1_00031
OG0000021	NC_005946.1_00038	OP009387.1_00005
OG0000022	NC_005946.1_00061	OP009387.1_00035
OG0000023	NC_005946.1_00089	OP009387.1_00044
OG0000024	NC_005946.1_00067	OP009387.1_00026
OG0000026	NC_005946.1_00086	OP009387.1_00110
OG0000027	NC_005946.1_00049	OP009387.1_00089
OG0000028	NC_005946.1_00085	OP009387.1_00047
OG0000112	NC_005946.1_00006	OP009387.1_00081
