Orthogroup	NC_005946.1	BD143114.1
OG0000000	NC_005946.1_00010	BD143114.1_00045
OG0000001	NC_005946.1_00053	BD143114.1_00067
OG0000002	NC_005946.1_00091	BD143114.1_00068
OG0000003	NC_005946.1_00057	BD143114.1_00060
OG0000004	NC_005946.1_00028	BD143114.1_00087
OG0000005	NC_005946.1_00014	BD143114.1_00104
OG0000006	NC_005946.1_00042	BD143114.1_00001
OG0000007	NC_005946.1_00002	BD143114.1_00109
OG0000008	NC_005946.1_00095	BD143114.1_00046
OG0000009	NC_005946.1_00092	BD143114.1_00085
OG0000011	NC_005946.1_00011	BD143114.1_00013
OG0000012	NC_005946.1_00060	BD143114.1_00053
OG0000013	NC_005946.1_00022	BD143114.1_00019
OG0000014	NC_005946.1_00016	BD143114.1_00077
OG0000015	NC_005946.1_00021	BD143114.1_00076
OG0000016	NC_005946.1_00082	BD143114.1_00113
OG0000017	NC_005946.1_00087	BD143114.1_00042
OG0000018	NC_005946.1_00023	BD143114.1_00092
OG0000019	NC_005946.1_00094	BD143114.1_00114
OG0000020	NC_005946.1_00083	BD143114.1_00044
OG0000021	NC_005946.1_00038	BD143114.1_00070
OG0000022	NC_005946.1_00061	BD143114.1_00040
OG0000023	NC_005946.1_00089	BD143114.1_00031
OG0000024	NC_005946.1_00067	BD143114.1_00049
OG0000026	NC_005946.1_00086	BD143114.1_00089
OG0000027	NC_005946.1_00049	BD143114.1_00112
OG0000028	NC_005946.1_00085	BD143114.1_00028
OG0000112	NC_005946.1_00006	BD143114.1_00120
