Orthogroup	NC_005946.1	KT804738.1
OG0000000	NC_005946.1_00010	KT804738.1_00029
OG0000001	NC_005946.1_00053	KT804738.1_00008
OG0000002	NC_005946.1_00091	KT804738.1_00007
OG0000003	NC_005946.1_00057	KT804738.1_00015
OG0000004	NC_005946.1_00028	KT804738.1_00109
OG0000005	NC_005946.1_00014	KT804738.1_00092
OG0000006	NC_005946.1_00042	KT804738.1_00072
OG0000007	NC_005946.1_00002	KT804738.1_00086
OG0000008	NC_005946.1_00095	KT804738.1_00028
OG0000009	NC_005946.1_00092	KT804738.1_00111
OG0000011	NC_005946.1_00011	KT804738.1_00060
OG0000012	NC_005946.1_00060	KT804738.1_00021
OG0000013	NC_005946.1_00022	KT804738.1_00055
OG0000014	NC_005946.1_00016	KT804738.1_00119
OG0000015	NC_005946.1_00021	KT804738.1_00120
OG0000016	NC_005946.1_00082	KT804738.1_00083
OG0000017	NC_005946.1_00087	KT804738.1_00032
OG0000018	NC_005946.1_00023	KT804738.1_00104
OG0000019	NC_005946.1_00094	KT804738.1_00082
OG0000020	NC_005946.1_00083	KT804738.1_00030
OG0000021	NC_005946.1_00038	KT804738.1_00005
OG0000022	NC_005946.1_00061	KT804738.1_00034
OG0000023	NC_005946.1_00089	KT804738.1_00043
OG0000024	NC_005946.1_00067	KT804738.1_00025
OG0000026	NC_005946.1_00086	KT804738.1_00107
OG0000027	NC_005946.1_00049	KT804738.1_00084
OG0000028	NC_005946.1_00085	KT804738.1_00046
OG0000112	NC_005946.1_00006	KT804738.1_00076
