Orthogroup	MF599468.1	HF920633.1
OG0000000	MF599468.1_00057, MF599468.1_00056	HF920633.1_00044
OG0000001	MF599468.1_00163	HF920633.1_00069
OG0000002	MF599468.1_00152	HF920633.1_00073
OG0000003	MF599468.1_00011	HF920633.1_00127
OG0000004	MF599468.1_00092	HF920633.1_00079
OG0000005	MF599468.1_00154	HF920633.1_00085
OG0000006	MF599468.1_00010	HF920633.1_00025
OG0000007	MF599468.1_00174	HF920633.1_00091
OG0000008	MF599468.1_00030	HF920633.1_00043
OG0000009	MF599468.1_00075	HF920633.1_00122
OG0000011	MF599468.1_00149	HF920633.1_00118
OG0000012	MF599468.1_00112	HF920633.1_00001
OG0000013	MF599468.1_00033	HF920633.1_00067
OG0000014	MF599468.1_00122	HF920633.1_00138
OG0000015	MF599468.1_00009	HF920633.1_00058
OG0000016	MF599468.1_00046	HF920633.1_00094
OG0000017	MF599468.1_00035	HF920633.1_00158
OG0000018	MF599468.1_00117	HF920633.1_00003
OG0000019	MF599468.1_00106	HF920633.1_00163
OG0000020	MF599468.1_00090	HF920633.1_00080
OG0000021	MF599468.1_00116	HF920633.1_00097
OG0000022	MF599468.1_00071	HF920633.1_00175
OG0000023	MF599468.1_00171	HF920633.1_00017
OG0000113	MF599468.1_00036, MF599468.1_00045	HF920633.1_00145
OG0000113	MF599468.1_00096	HF920633.1_00086
OG0000122	MF599468.1_00055, MF599468.1_00091, MF599468.1_00103, MF599468.1_00128, MF599468.1_00023, MF599468.1_00038, MF599468.1_00070, MF599468.1_00145, MF599468.1_00101, MF599468.1_00024, MF599468.1_00104, MF599468.1_00029, MF599468.1_00099, MF599468.1_00100, MF599468.1_00114, MF599468.1_00102, MF599468.1_00054	HF920633.1_00116
OG0000134	MF599468.1_00002	HF920633.1_00135
OG0000135	MF599468.1_00027	HF920633.1_00064
OG0000138	MF599468.1_00051	HF920633.1_00053
OG0000148	MF599468.1_00161	HF920633.1_00026
OG0000155	MF599468.1_00074	HF920633.1_00036
OG0000156	MF599468.1_00142	HF920633.1_00106
OG0000158	MF599468.1_00060	HF920633.1_00024
OG0000166	MF599468.1_00141	HF920633.1_00134
OG0000168	MF599468.1_00004	HF920633.1_00105
OG0000169	MF599468.1_00162	HF920633.1_00082
OG0000170	MF599468.1_00067	HF920633.1_00169
OG0000171	MF599468.1_00105	HF920633.1_00177
OG0000172	MF599468.1_00081	HF920633.1_00144
OG0000174	MF599468.1_00155	HF920633.1_00046
OG0000185	MF599468.1_00129	HF920633.1_00128
OG0000186	MF599468.1_00022	HF920633.1_00110
OG0000187	MF599468.1_00079	HF920633.1_00149
OG0000188	MF599468.1_00037	HF920633.1_00165
OG0000189	MF599468.1_00025	HF920633.1_00103
OG0000191	MF599468.1_00052, MF599468.1_00061	HF920633.1_00032
OG0000192	MF599468.1_00043	HF920633.1_00022
OG0000194	MF599468.1_00015	HF920633.1_00120
OG0000196	MF599468.1_00172	HF920633.1_00056
OG0000197	MF599468.1_00044	HF920633.1_00123
OG0000199	MF599468.1_00065	HF920633.1_00098
OG0000204	MF599468.1_00125	HF920633.1_00125
